rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.002,0.5,1,0.5,500,50,1000,1,200000,42,2000,500,12714.094500,112.157610,12579.329570,12570.900000,12857.100000,12273.000000,13115.000000,12714.094500,112.157610,12579.329570,12570.900000,12857.100000,12273.000000,13115.000000,12864735.164176,12864735.164176,1014.212593,1011.778242,0.000988290418555,0.000988290418555,0.494145209277,0.494145209277,0.000988299156411,9.01640631585e-06,0.000947486673263,0.00102299432598,0.000988299156411,9.01640631585e-06,0.000947486673263,0.00102299432598,0.494149578206,0.00450820315795,0.473743336631,0.511497162988,0.494149578206,0.00450820315795,0.473743336631,0.511497162988,12456.799797,112.061205,12013.935670,12857.474019,1,-0.001,50,distance
0.002,0.5,1.1,0.5,500,50,1000,1,200000,42,2000,500,9868.171000,94.981407,9021.467759,9748.000000,9991.000000,9552.000000,10137.000000,9868.171000,94.981407,9021.467759,9748.000000,9991.000000,9552.000000,10137.000000,9973376.438898,9973376.438898,1009.978606,1010.573247,0.000989451371906,0.000989451371906,0.494725685953,0.494725685953,0.000989462659113,9.82825489692e-06,0.000954651625274,0.00102039701035,0.000989462659113,9.82825489692e-06,0.000954651625274,0.00102039701035,0.494731329556,0.00491412744825,0.477325812637,0.510198505175,0.494731329556,0.00491412744825,0.477325812637,0.510198505175,9668.703471,94.872992,9352.863159,9938.045801,1,-0.001,50,distance
0.002,0.5,1.2,0.5,500,50,1000,1,200000,42,2000,500,7465.647500,83.208222,6923.608244,7358.000000,7571.100000,7191.000000,7780.000000,7465.647500,83.208222,6923.608244,7358.000000,7571.100000,7191.000000,7780.000000,7528406.808397,7528406.808397,1058.629912,1008.275188,0.000991663666697,0.000991663666697,0.495831833348,0.495831833348,0.000991678696329,1.14499182973e-05,0.000956152865444,0.0010321687682,0.000991678696329,1.14499182973e-05,0.000956152865444,0.0010321687682,0.495839348164,0.00572495914871,0.478076432722,0.516084384101,0.495839348164,0.00572495914871,0.478076432722,0.516084384101,7315.079364,83.129195,7040.584721,7629.249459,1,-0.001,50,distance
0.002,0.5,1.3,0.5,500,50,1000,1,200000,42,2000,500,5525.105000,74.263591,5515.080975,5432.000000,5621.000000,5306.000000,5759.000000,5525.105000,74.263591,5515.080975,5432.000000,5621.000000,5306.000000,5759.000000,5559991.927111,5559991.927111,986.255959,1006.153189,0.000993725363711,0.000993725363711,0.496862681856,0.496862681856,0.00099373879606,1.32792882558e-05,0.000955647217574,0.00103977180219,0.00099373879606,1.32792882558e-05,0.000955647217574,0.00103977180219,0.49686939803,0.00663964412781,0.477823608787,0.519885901094,0.49686939803,0.00663964412781,0.477823608787,0.519885901094,5413.905161,74.136476,5195.221720,5648.225694,1,-0.001,50,distance
0.002,0.5,1.4,0.5,500,50,1000,1,200000,42,2000,500,4036.535500,64.025212,4099.227740,3953.000000,4114.100000,3808.000000,4319.000000,4036.535500,64.025212,4099.227740,3953.000000,4114.100000,3808.000000,4319.000000,4045819.344099,4045819.344099,974.798187,1002.085283,0.000997705324111,0.000997705324111,0.498852662056,0.498852662056,0.000997725212854,1.58806451415e-05,0.000948159072186,0.00106881523257,0.000997725212854,1.58806451415e-05,0.000948159072186,0.00106881523257,0.498862606427,0.00794032257069,0.474079536093,0.534407616286,0.498862606427,0.00794032257069,0.474079536093,0.534407616286,3955.619113,63.933783,3727.675925,4238.181541,1,-0.001,50,distance
0.002,0.5,1.5,0.5,500,50,1000,1,200000,42,2000,500,2923.706000,53.512387,2863.575564,2854.000000,2992.000000,2744.000000,3103.000000,2923.706000,53.512387,2863.575564,2854.000000,2992.000000,2744.000000,3103.000000,2920689.234929,2920689.234929,965.027585,998.660628,0.00100103289492,0.00100103289492,0.50051644746,0.50051644746,0.0010010584805,1.83761916537e-05,0.000927503382449,0.00106395765612,0.0010010584805,1.83761916537e-05,0.000927503382449,0.00106395765612,0.50052924025,0.00918809582683,0.463751691224,0.531978828058,0.50052924025,0.00918809582683,0.463751691224,0.531978828058,2865.292215,53.438978,2686.177910,3044.107299,1,-0.001,50,distance
0.002,0.5,1.6,0.5,500,50,1000,1,200000,42,2000,500,2122.114000,45.381538,2059.484004,2062.000000,2180.000000,1977.000000,2303.000000,2122.114000,45.381538,2059.484004,2062.000000,2180.000000,1977.000000,2303.000000,2110128.095495,2110128.095495,968.585751,993.921991,0.00100568017863,0.00100568017863,0.502840089313,0.502840089313,0.00100571878083,2.19255847916e-05,0.000934626866392,0.00108198912235,0.00100571878083,2.19255847916e-05,0.000934626866392,0.00108198912235,0.502859390414,0.0109627923958,0.467313433196,0.540994561177,0.502859390414,0.0109627923958,0.467313433196,0.540994561177,2079.911438,45.341938,1934.998736,2260.430256,1,-0.001,50,distance
0.002,0.5,1.7,0.5,500,50,1000,1,200000,42,2000,500,1552.968500,39.287091,1543.475508,1503.000000,1604.000000,1425.000000,1691.000000,1552.968500,39.287091,1543.475508,1503.000000,1604.000000,1425.000000,1691.000000,1537166.139337,1537166.139337,963.638249,989.255151,0.00101028019045,0.00101028019045,0.505140095224,0.505140095224,0.00101032689663,2.59774575079e-05,0.00092680345356,0.00110298476178,0.00101032689663,2.59774575079e-05,0.00092680345356,0.00110298476178,0.505163448315,0.012988728754,0.46340172678,0.55149238089,0.505163448315,0.012988728754,0.46340172678,0.55149238089,1522.225177,39.257324,1394.258429,1660.337745,1,-0.001,50,distance
0.002,0.5,1.8,0.5,500,50,1000,1,200000,42,2000,500,1153.843500,34.557127,1194.195008,1110.000000,1197.100000,1020.000000,1267.000000,1153.843500,34.557127,1194.195008,1110.000000,1197.100000,1020.000000,1267.000000,1138374.365883,1138374.365883,967.715389,985.789366,0.00101358879344,0.00101358879344,0.506794396721,0.506794396721,0.0010136308383,3.03523437248e-05,0.000894671671958,0.00110887486387,0.0010136308383,3.03523437248e-05,0.000894671671958,0.00110887486387,0.506815419152,0.0151761718624,0.447335835979,0.554437431933,0.506815419152,0.0151761718624,0.447335835979,0.554437431933,1131.076013,34.525608,997.198339,1243.588287,1,-0.001,50,distance
0.002,0.5,1.9,0.5,500,50,1000,1,200000,42,2000,500,875.203500,29.752884,885.234088,836.000000,912.000000,763.000000,1007.000000,875.203500,29.752884,885.234088,836.000000,912.000000,763.000000,1007.000000,861944.779388,861944.779388,975.077525,983.766738,0.00101538233183,0.00101538233183,0.507691165913,0.507691165913,0.00101541689994,3.42143755648e-05,0.000875970982196,0.00116751126485,0.00101541689994,3.42143755648e-05,0.000875970982196,0.00116751126485,0.507708449968,0.0171071877824,0.437985491098,0.583755632423,0.507708449968,0.0171071877824,0.437985491098,0.583755632423,857.964604,29.725641,745.579332,989.749631,1,-0.001,50,distance
