rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,1,50000,42,1000,50,4325.971000,70.060418,4908.462159,4236.000000,4413.100000,4096.000000,4543.000000,4325.971000,70.060418,4908.462159,4236.000000,4413.100000,4096.000000,4543.000000,484334.850175,484334.850175,103.361968,111.937012,0.0089317772579,0.0089317772579,0.446588862895,0.446588862895,0.00893206090748,0.000154147249768,0.00842203477452,0.00944706522371,0.00893206090748,0.000154147249768,0.00842203477452,0.00944706522371,0.446603045374,0.00770736248836,0.421101738726,0.472353261185,0.446603045374,0.00770736248836,0.421101738726,0.472353261185,4316.284303,70.062846,4086.273134,4533.286805,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,1,50000,42,1000,50,3812.554000,64.712866,4187.755084,3729.900000,3896.000000,3602.000000,4033.000000,3812.554000,64.712866,4187.755084,3729.900000,3896.000000,3602.000000,4033.000000,423436.761942,423436.761942,99.500236,111.040838,0.00900383325839,0.00900383325839,0.450191662919,0.450191662919,0.00900418510686,0.000164424755774,0.00841000441365,0.00959662273783,0.00900418510686,0.000164424755774,0.00841000441365,0.00959662273783,0.450209255343,0.00822123778869,0.420500220683,0.479831136892,0.450209255343,0.00822123778869,0.420500220683,0.479831136892,3804.085265,64.716169,3593.434012,4024.594960,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,1,50000,42,1000,50,3341.241000,60.215803,3625.942919,3268.000000,3420.000000,3137.000000,3545.000000,3341.241000,60.215803,3625.942919,3268.000000,3420.000000,3137.000000,3545.000000,367202.262032,367202.262032,97.730169,109.872875,0.00909918414312,0.00909918414312,0.454959207156,0.454959207156,0.00909947477623,0.000170470268121,0.00853757559317,0.0097122110328,0.00909947477623,0.000170470268121,0.00853757559317,0.0097122110328,0.454973738811,0.00852351340606,0.426878779659,0.48561055164,0.454973738811,0.00852351340606,0.426878779659,0.48561055164,3333.896955,60.213594,3129.680984,3537.699912,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,1,50000,42,1000,50,2902.860000,57.688668,3327.982400,2829.900000,2977.000000,2741.000000,3112.000000,2902.860000,57.688668,3327.982400,2829.900000,2977.000000,2741.000000,3112.000000,316428.018835,316428.018835,99.792895,108.974232,0.00917383994846,0.00917383994846,0.458691997423,0.458691997423,0.00917422993825,0.00019203669737,0.00863394333684,0.00972264103391,0.00917422993825,0.00019203669737,0.00863394333684,0.00972264103391,0.458711496912,0.00960183486853,0.431697166842,0.486132051696,0.458711496912,0.00960183486853,0.431697166842,0.486132051696,2896.531440,57.688903,2734.672739,3105.587404,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,1,50000,42,1000,50,2506.916000,53.656453,2879.014944,2436.000000,2577.000000,2322.000000,2690.000000,2506.916000,53.656453,2879.014944,2436.000000,2577.000000,2322.000000,2690.000000,271357.931043,271357.931043,99.807438,108.209108,0.00923841064961,0.00923841064961,0.461920532481,0.461920532481,0.00923873924991,0.000203564546435,0.00856653514491,0.00983948085083,0.00923873924991,0.000203564546435,0.00856653514491,0.00983948085083,0.461936962495,0.0101782273218,0.428326757246,0.491974042542,0.461936962495,0.0101782273218,0.428326757246,0.491974042542,2501.488841,53.654435,2316.578905,2684.529369,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,1,50000,42,1000,50,2164.176000,50.869313,2587.687024,2100.000000,2227.000000,2010.000000,2351.000000,2164.176000,50.869313,2587.687024,2100.000000,2227.000000,2010.000000,2351.000000,232265.480256,232265.480256,100.501015,107.277945,0.00931768249685,0.00931768249685,0.465884124843,0.465884124843,0.00931811519484,0.000226258985161,0.00859612608158,0.0101391381215,0.00931811519484,0.000226258985161,0.00859612608158,0.0101391381215,0.465905759742,0.0113129492581,0.429806304079,0.506956906074,0.465905759742,0.0113129492581,0.429806304079,0.506956906074,2159.530690,50.867626,2005.389867,2346.324117,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,1,50000,42,1000,50,1863.903000,47.805790,2285.393591,1803.000000,1926.000000,1698.000000,2016.000000,1863.903000,47.805790,2285.393591,1803.000000,1926.000000,1698.000000,2016.000000,198867.150966,198867.150966,94.648159,106.643618,0.0093726037254,0.0093726037254,0.46863018627,0.46863018627,0.00937293095373,0.000243548486126,0.00851427522394,0.0101238398987,0.00937293095373,0.000243548486126,0.00851427522394,0.0101238398987,0.468646547686,0.0121774243063,0.425713761197,0.506191994937,0.468646547686,0.0121774243063,0.425713761197,0.506191994937,1859.925657,47.803065,1694.011404,2011.977193,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,1,50000,42,1000,50,1606.677000,43.771231,1915.920671,1552.000000,1661.100000,1452.000000,1737.000000,1606.677000,43.771231,1915.920671,1552.000000,1661.100000,1452.000000,1737.000000,170566.289109,170566.289109,94.276845,106.104240,0.00941966321944,0.00941966321944,0.470983160972,0.470983160972,0.00942004979845,0.000260444663242,0.00855046010993,0.0103120902796,0.00942004979845,0.000260444663242,0.00855046010993,0.0103120902796,0.471002489923,0.0130222331621,0.427523005496,0.515604513981,0.471002489923,0.0130222331621,0.427523005496,0.515604513981,1603.265674,43.768743,1448.603692,1733.597408,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,1,50000,42,1000,50,1387.354000,39.237720,1539.598684,1337.000000,1437.000000,1281.000000,1531.000000,1387.354000,39.237720,1539.598684,1337.000000,1437.000000,1281.000000,1531.000000,147115.127877,147115.127877,95.181881,105.975347,0.00943039658819,0.00943039658819,0.47151982941,0.47151982941,0.00943072760653,0.000266835182013,0.0086356931265,0.0103229129345,0.00943072760653,0.000266835182013,0.0086356931265,0.0103229129345,0.471536380327,0.0133417591007,0.431784656325,0.516145646726,0.471536380327,0.0133417591007,0.431784656325,0.516145646726,1384.411697,39.234244,1278.071266,1528.024327,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,1,50000,42,1000,50,1201.248000,39.265233,1541.758496,1151.000000,1252.000000,1044.000000,1337.000000,1201.248000,39.265233,1541.758496,1151.000000,1252.000000,1044.000000,1337.000000,127730.778967,127730.778967,92.291078,106.254015,0.00940453044843,0.00940453044843,0.470226522422,0.470226522422,0.00940487655625,0.000308503315952,0.00812046900864,0.0105240969902,0.00940487655625,0.000308503315952,0.00812046900864,0.0105240969902,0.470243827813,0.0154251657976,0.406023450432,0.52620484951,0.470243827813,0.0154251657976,0.406023450432,0.52620484951,1198.693384,39.263055,1041.428720,1334.459164,1,-0.001,50,distance
