rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,0,200000,42,500,50,108.812000,107.829109,11627.116656,16.900000,241.100000,2.000000,1038.000000,198858.326000,1155.167304,1334411.499725,197460.800000,199852.100000,189014.000000,200000.000000,80531.702754,80531.702754,101.938847,0.404460,0.00135116974159,2.46931728995,0.0675584870794,123.465864498,0.00134942383017,0.0011455004777,2.26632186858e-05,0.00786301266658,2.98955872782,2.39706137755,0.95115505994,34.1829167385,0.0674711915083,0.0572750238852,0.00113316093429,0.393150633329,149.477936391,119.853068877,47.557752997,1709.14583692,107.201366,107.595059,0.235026,1034.025590,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,0,200000,42,500,50,115.292000,107.731531,11606.082736,15.900000,243.100000,2.000000,817.000000,198623.876000,1319.749395,1741738.464622,197042.900000,199819.300000,190114.000000,200000.000000,80134.194393,80134.194393,97.014671,0.402961,0.00143873662016,2.47864070395,0.0719368310081,123.932035198,0.00146009740008,0.00120732363012,2.15555780752e-05,0.00708557716754,2.92324357474,1.70824460915,1.16067300979,17.2476722155,0.0730048700038,0.0603661815061,0.00107777890376,0.354278858377,146.162178737,85.4122304575,58.0336504893,862.383610775,113.689316,107.490338,0.144332,813.959622,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,0,200000,42,500,50,103.588000,103.615608,10736.194256,12.900000,227.400000,2.000000,733.000000,198555.314000,1488.507816,2215655.519394,196817.400000,199861.000000,189055.000000,200000.000000,79061.528422,79061.528422,97.093936,0.397697,0.00131022005351,2.51140242242,0.0655110026754,125.570121121,0.00132401484537,0.00123693303368,2.29080524772e-05,0.00795173673532,3.00539382417,2.37637366538,1.20421323114,39.8416568604,0.0662007422686,0.0618466516839,0.00114540262386,0.397586836766,150.269691209,118.818683269,60.2106615568,1992.08284302,102.006769,103.418539,0.253889,729.860108,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,0,200000,42,500,50,99.854000,97.542979,9514.632684,11.000000,224.800000,2.000000,632.000000,198399.168000,1585.273841,2513093.151779,196263.400000,199857.000000,189872.000000,199999.000000,76981.529618,76981.529618,102.220844,0.387500,0.00129711634071,2.5772307849,0.0648558170354,128.861539245,0.00132688214216,0.0012120932254,2.59192375218e-05,0.00730355075445,3.09919140125,1.86409609299,1.33788496451,14.9452247695,0.0663441071082,0.0606046612699,0.00129596187609,0.365177537722,154.959570062,93.2048046495,66.8942482257,747.261238476,98.314369,97.333847,0.456745,629.494084,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,0,200000,42,500,50,100.978000,95.572347,9134.073516,10.000000,231.100000,2.000000,610.000000,198116.092000,1818.421377,3306656.303535,195657.500000,199841.100000,188913.000000,199998.000000,77650.007589,77650.007589,94.702083,0.391466,0.00130042485681,2.55139823102,0.0650212428407,127.569911551,0.00131778630171,0.00112122903264,2.07995776321e-05,0.00621499149589,3.11237240012,2.09750881944,1.34238661155,20.233554404,0.0658893150855,0.056061451632,0.00103997888161,0.310749574795,155.618620006,104.875440972,67.1193305775,1011.6777202,99.425000,95.360078,0.076884,607.578571,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,0,200000,42,500,50,104.426000,106.790077,11404.120524,13.000000,230.200000,2.000000,822.000000,197719.714000,2372.901006,5630659.184204,194936.700000,199723.000000,181979.000000,199994.000000,78449.780875,78449.780875,100.284463,0.396267,0.00133111907816,2.52033481541,0.0665559539081,126.016740771,0.00132720223734,0.00113382029684,2.42695657935e-05,0.00654594072453,3.08003697331,2.18922291024,1.2105324283,23.0539240202,0.0663601118671,0.0566910148419,0.00121347828967,0.327297036226,154.001848666,109.461145512,60.5266214148,1152.69620101,102.857004,106.548081,0.351845,819.003322,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,0,200000,42,500,50,110.390000,106.336080,11307.361900,13.900000,256.000000,2.000000,638.000000,197173.882000,2773.064046,7689884.204071,193275.300000,199685.200000,183270.000000,199996.000000,76164.549829,76164.549829,96.332331,0.385795,0.00144936194395,2.58878812313,0.0724680971976,129.439406156,0.0014968070706,0.00136285813348,2.9387897324e-05,0.00761579887878,3.12150062955,2.05000524569,1.15858266523,20.853531219,0.0748403535301,0.0681429066738,0.0014693948662,0.380789943939,156.075031478,102.500262284,57.9291332616,1042.67656095,108.866709,106.138331,0.638895,634.833752,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,0,200000,42,500,50,107.796000,103.804270,10775.326384,13.000000,253.100000,2.000000,760.000000,196802.346000,3145.106042,9891692.014282,192315.000000,199660.300000,177167.000000,199989.000000,79234.389178,79234.389178,102.558805,0.402090,0.00136046988081,2.48379962341,0.0680234940403,124.18998117,0.00134856672775,0.00115344507245,2.65195364404e-05,0.00824198638898,2.91969846687,1.788648342,1.10787108323,19.8597667411,0.0674283363875,0.0576722536226,0.00132597682202,0.412099319449,145.984923344,89.4324170998,55.3935541614,992.988337053,106.211312,103.588277,0.491678,756.801668,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,0,200000,42,500,50,110.574000,121.734287,14819.236524,10.000000,246.100000,2.000000,1118.000000,196195.876000,4320.573848,18667358.376625,191286.900000,199674.500000,160423.000000,199999.000000,76708.651286,76708.651286,96.467222,0.390490,0.00144148017396,2.55767599495,0.0720740086978,127.883799748,0.00145797324277,0.00138678750099,2.12383193231e-05,0.0082999116639,3.09974443404,2.2290899879,1.15699781427,30.256688446,0.0728986621384,0.0693393750493,0.00106191596615,0.414995583195,154.987221702,111.454499395,57.8498907135,1512.8344223,109.039827,121.514883,0.116612,1115.232670,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,0,200000,42,500,50,103.510000,100.271162,10054.305900,13.000000,238.000000,2.000000,536.000000,195889.508000,4084.108204,16679939.825935,190437.100000,199544.300000,178013.000000,199980.000000,76840.982552,76840.982552,91.697612,0.391801,0.0013470676267,2.54928426855,0.0673533813351,127.464213427,0.00138143171419,0.00125720417255,2.60735381114e-05,0.00681199773773,3.15035399605,2.99405765252,1.25574559928,50.3005209546,0.0690715857096,0.0628602086276,0.00130367690557,0.340599886886,157.517699802,149.702882626,62.7872799642,2515.02604773,101.973180,100.086234,0.465878,533.164824,1,-0.001,50,distance
