rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,0,5000,1776707117,1500,50,439.062667,20.901325,436.865406,413.000000,467.000000,378.000000,513.000000,465.666667,22.246698,494.915556,437.000000,495.000000,404.000000,551.000000,53749.945803,53749.945803,102.308243,115.217138,0.00816861598847,0.00866357462707,0.408430799423,0.433178731354,0.0081689724696,0.000373117853262,0.00693122174302,0.00936376451575,0.00866414717509,0.000401487773878,0.0074173074237,0.0100573767021,0.40844862348,0.0186558926631,0.346561087151,0.468188225788,0.433207358755,0.0200743886939,0.370865371185,0.502868835105,437.987668,20.896285,376.952552,511.904287,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,0,5000,1776707117,1500,50,387.972000,18.512173,342.700549,365.000000,412.000000,331.000000,448.000000,413.846667,19.864990,394.617822,389.000000,439.000000,357.000000,480.000000,46736.649367,46736.649367,100.614499,112.696174,0.00830123693629,0.00885486384402,0.415061846814,0.442743192201,0.00830172087721,0.000379737263093,0.00720016701558,0.00952038608195,0.00885549254545,0.000410173993544,0.00760128159975,0.0102549879775,0.41508604386,0.0189868631547,0.360008350779,0.476019304097,0.442774627272,0.0205086996772,0.380064079987,0.512749398873,387.037267,18.507436,330.091502,447.058862,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,0,5000,1776707117,1500,50,340.584667,18.280267,334.168165,317.000000,364.000000,283.000000,397.000000,365.945333,20.012888,400.515678,341.000000,392.000000,301.000000,425.000000,40286.672240,40286.672240,101.818231,109.809900,0.00845402828604,0.0090835334116,0.422701414302,0.45417667058,0.00845449170076,0.000432896437896,0.00713219647664,0.00993157210605,0.00908420335929,0.000478076593225,0.00758583441509,0.0105880477724,0.422724585038,0.0216448218948,0.356609823832,0.496578605302,0.454210167965,0.0239038296613,0.379291720754,0.529402388621,339.778933,18.275465,282.206416,396.200529,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,0,5000,1776707117,1500,50,296.318000,17.038218,290.300876,275.000000,319.000000,242.000000,367.000000,321.275333,18.907164,357.480858,298.000000,345.000000,264.000000,400.000000,34521.175585,34521.175585,102.478237,107.145364,0.0085836590144,0.00930661624022,0.42918295072,0.465330812011,0.00858417341915,0.000471810109436,0.00705169100977,0.0104636684668,0.00930744635744,0.000529887048466,0.00774811872382,0.011404543288,0.429208670957,0.0235905054718,0.352584550488,0.523183423339,0.465372317872,0.0264943524233,0.387405936191,0.570227164402,295.627576,17.034048,241.318544,366.298525,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,0,5000,1776707117,1500,50,256.580667,15.814323,250.092826,237.000000,277.000000,202.000000,306.000000,281.204667,17.491944,305.968112,258.900000,304.000000,220.000000,333.000000,29404.575099,29404.575099,99.658762,104.210733,0.00872587567759,0.00956329638226,0.436293783879,0.478164819113,0.00872654962654,0.000515014305668,0.00665478109909,0.0104131263869,0.0095642220033,0.000573601209092,0.00754428154303,0.0117147671853,0.436327481327,0.0257507152834,0.332739054955,0.520656319347,0.478211100165,0.0286800604546,0.377214077151,0.585738359265,255.992575,15.810560,201.392918,305.397616,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,0,5000,1776707117,1500,50,222.096000,15.268796,233.136117,203.000000,242.000000,170.000000,262.000000,246.509333,17.415412,303.296580,224.000000,269.000000,193.000000,299.000000,25020.537059,25020.537059,98.715118,101.099825,0.00887654807232,0.0098522798592,0.443827403616,0.49261399296,0.00887685746214,0.000581171849265,0.00696923936233,0.0108586084665,0.00985313830357,0.000672061096723,0.00769963078662,0.0123920760744,0.443842873107,0.0290585924633,0.348461968116,0.542930423326,0.492656915178,0.0336030548362,0.384981539331,0.619603803719,221.595589,15.265228,169.526824,261.517434,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,0,5000,1776707117,1500,50,192.272000,13.785186,190.031349,174.000000,210.000000,150.000000,243.000000,216.530667,15.992156,255.749060,196.000000,237.000000,166.000000,273.000000,21245.978054,21245.978054,96.522800,97.645935,0.00904980695674,0.0101916073768,0.452490347837,0.509580368839,0.00905007347177,0.000611337989131,0.00723027920224,0.0116611155052,0.0101927762764,0.000724611278614,0.00804880137607,0.0132224364097,0.452503673588,0.0305668994565,0.361513960112,0.583055775261,0.50963881382,0.0362305639307,0.402440068804,0.661121820484,191.847080,13.781604,149.595375,242.566769,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,0,5000,1776707117,1500,50,166.283333,13.066562,170.735056,150.000000,183.000000,124.000000,207.000000,190.925333,15.528589,241.137092,171.000000,211.000000,138.000000,242.000000,18112.886936,18112.886936,91.550023,94.382546,0.00918038819092,0.0105408560217,0.459019409546,0.527042801087,0.00918132663752,0.000693938438829,0.00682144476202,0.0114187905459,0.0105429667508,0.000839988594815,0.00774916124965,0.0134184068813,0.459066331876,0.0346969219414,0.341072238101,0.570939527295,0.527148337538,0.0419994297407,0.387458062483,0.670920344064,165.921076,13.063930,123.644703,206.637440,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,0,5000,1776707117,1500,50,143.284667,12.043849,145.054298,127.000000,159.000000,109.000000,185.000000,167.948000,14.751089,217.594629,148.000000,187.000000,123.000000,220.000000,15517.370184,15517.370184,90.518087,91.833585,0.00923382409331,0.0108232257149,0.461691204666,0.541161285747,0.00923435140827,0.000745565759381,0.00696183910292,0.0120001425451,0.0108250903951,0.000932037034891,0.007784601906,0.0138163803357,0.461717570413,0.0372782879691,0.348091955146,0.600007127253,0.541254519755,0.0466018517446,0.3892300953,0.690819016783,142.974319,12.041623,108.694808,184.691670,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,0,5000,1776707117,1500,50,125.393333,11.463040,131.401289,111.000000,140.000000,90.000000,161.000000,150.132667,14.606222,213.341733,132.000000,169.000000,106.000000,201.000000,13382.950354,13382.950354,91.413992,88.472932,0.00936963300439,0.0112182039606,0.468481650219,0.560910198032,0.0093697072165,0.0008201444577,0.00690194417811,0.0122526880584,0.0112204251443,0.00107320918155,0.00801060044724,0.0147641085922,0.468485360825,0.041007222885,0.345097208905,0.612634402922,0.561021257214,0.0536604590776,0.400530022362,0.738205429608,125.125674,11.460940,89.739204,160.737201,1,-0.001,50,distance
0.02,0.5,2,0.5,50,50,500,0,5000,1776707117,1500,50,109.209333,10.676212,113.981513,95.000000,123.000000,78.000000,157.000000,134.442000,13.797970,190.383969,117.000000,152.000000,96.000000,203.000000,11633.285994,11633.285994,92.538396,85.738428,0.00938765997756,0.0115566659385,0.469382998878,0.577833296927,0.0093877712649,0.000881790370438,0.00658651518658,0.0126852722609,0.0115590882504,0.00116561560247,0.00790381822389,0.0164019762354,0.469388563245,0.0440895185219,0.329325759329,0.634263613043,0.577954412522,0.0582807801233,0.395190911195,0.820098811769,108.976668,10.674413,77.785155,156.752469,1,-0.001,50,distance
0.02,0.5,2.1,0.5,50,50,500,0,5000,1776707117,1500,50,95.204000,9.942554,98.854384,82.900000,108.000000,68.000000,130.000000,121.094667,13.671297,186.904372,103.000000,139.000000,86.000000,170.000000,10208.052043,10208.052043,88.700862,83.464942,0.00932636310982,0.0118626615688,0.466318155491,0.59313307844,0.0093261700817,0.000939969422052,0.00642437564864,0.0124370848658,0.0118647282936,0.00132147866225,0.00821942178576,0.0160420603191,0.466308504085,0.0469984711026,0.321218782432,0.621854243291,0.593236414678,0.0660739331124,0.410971089288,0.802103015956,94.999839,9.941122,67.788306,129.785783,1,-0.001,50,distance
0.02,0.5,2.2,0.5,50,50,500,0,5000,1776707117,1500,50,84.823333,9.479317,89.857456,73.000000,97.000000,59.000000,119.000000,111.587333,13.233986,175.138373,95.000000,129.000000,73.000000,156.000000,9059.370906,9059.370906,94.570108,80.168130,0.00936304895928,0.0123173379797,0.468152447964,0.615866898987,0.0093621152573,0.00100931786315,0.00648654066708,0.0127620856985,0.0123186139952,0.00143619026876,0.00785698815706,0.017277061095,0.468105762865,0.0504658931575,0.324327033354,0.638104284925,0.61593069976,0.0718095134378,0.392849407853,0.86385305475,84.642146,9.478058,58.818085,118.805877,1,-0.001,50,distance
0.02,0.5,2.3,0.5,50,50,500,0,5000,1776707117,1500,50,74.830000,9.036210,81.653100,63.000000,86.000000,46.000000,107.000000,102.003333,13.511846,182.569989,85.000000,119.100000,57.000000,157.000000,8123.628718,8123.628718,96.821414,78.513464,0.00921140079137,0.0125563755899,0.460570039569,0.627818779493,0.00921162768165,0.00109006792624,0.00568171714703,0.0127352963301,0.0125592922148,0.00165582138354,0.00683243414538,0.0189740295599,0.460581384083,0.0545033963119,0.284085857351,0.636764816506,0.627964610739,0.0827910691768,0.341621707269,0.948701477995,74.667527,9.035382,45.838077,106.831963,1,-0.001,50,distance
0.02,0.5,2.4,0.5,50,50,500,0,5000,1776707117,1500,50,66.348667,8.844684,78.228432,55.000000,78.000000,40.000000,101.000000,93.948667,13.486859,181.895365,77.000000,111.000000,57.000000,155.000000,7375.055633,7375.055633,94.080513,77.328832,0.00899636151538,0.0127387061667,0.449818075769,0.636935308337,0.00899434872917,0.00116589832831,0.00553799821347,0.0142732290388,0.0127401362878,0.00181629587556,0.00778133645319,0.0215200863905,0.449717436458,0.0582949164155,0.276899910673,0.71366145194,0.63700681439,0.0908147937781,0.38906682266,1.07600431952,66.201166,8.843793,39.855543,100.858476,1,-0.001,50,distance
