rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,433.806667,19.571918,383.059956,409.000000,459.000000,370.000000,498.000000,474.728000,22.076670,487.379349,446.000000,504.000000,401.000000,537.000000,49111.440957,49111.440957,100.530033,103.258514,0.00883310809477,0.0096663423175,0.441655404738,0.483317115875,0.00883498417231,0.000413412565291,0.00741937945525,0.01004269898,0.0096686346859,0.000470465548496,0.00804100313934,0.0110524808918,0.441749208616,0.0206706282645,0.370968972762,0.502134949002,0.483431734295,0.0235232774248,0.402050156967,0.552624044588,432.824438,19.570661,369.002612,496.989494,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,382.604667,18.926358,358.207045,358.900000,407.000000,313.000000,437.000000,420.664000,21.275473,452.645771,393.900000,449.000000,339.000000,497.000000,42997.668068,42997.668068,102.593601,101.986112,0.0088982655073,0.00978341428497,0.444913275365,0.489170714248,0.00890019432671,0.000450719916621,0.00722006433865,0.0103891677652,0.00978593317334,0.000513686818603,0.00781981409202,0.0113150433672,0.445009716335,0.0225359958311,0.361003216933,0.519458388259,0.489296658667,0.0256843409301,0.390990704601,0.565752168358,381.744713,18.924712,312.132972,436.147412,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,335.447333,17.315289,299.819226,313.900000,358.000000,268.000000,401.000000,370.125333,19.614968,384.746958,345.000000,396.000000,296.000000,432.000000,37273.981566,37273.981566,102.565677,100.429897,0.00899950365477,0.00992985771255,0.449975182738,0.496492885628,0.00900164198366,0.000474309259959,0.00716482217549,0.0108686417035,0.00993258574956,0.000543806798638,0.00791338568636,0.0116817570429,0.450082099183,0.0237154629979,0.358241108774,0.543432085175,0.496629287478,0.0271903399319,0.395669284318,0.584087852145,334.701854,17.313512,267.251900,400.262097,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,293.082000,16.803629,282.361943,272.000000,314.000000,241.000000,352.000000,325.602667,19.455919,378.532793,301.000000,349.000000,257.000000,402.000000,32156.347424,32156.347424,93.774275,98.465466,0.00911428142443,0.0101256110459,0.455714071222,0.506280552293,0.00911678213523,0.000534325441252,0.00747347269742,0.0109069054919,0.0101289253595,0.000626474730734,0.00793670447618,0.0123486228845,0.455839106761,0.0267162720626,0.373673634871,0.545345274595,0.506446267974,0.0313237365367,0.396835223809,0.617431144225,292.438873,16.802276,240.368239,351.348490,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,252.960000,15.933813,253.886400,232.000000,273.000000,205.000000,305.000000,282.895333,18.583085,345.331045,259.000000,307.000000,220.000000,343.000000,27581.178585,27581.178585,94.837751,97.149035,0.0091714717419,0.0102568254095,0.458573587095,0.512841270474,0.00917385240606,0.000582105496032,0.00726818452922,0.0110667505467,0.0102598619975,0.000684595249889,0.00819205110924,0.012463881845,0.458692620303,0.0291052748016,0.363409226461,0.553337527335,0.512993099873,0.0342297624944,0.409602555462,0.623194092248,252.408376,15.932090,204.435898,304.441822,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,218.603333,15.209887,231.340656,199.000000,239.000000,167.000000,268.000000,246.324000,17.712755,313.741691,224.000000,270.000000,189.000000,307.000000,23581.541735,23581.541735,94.228496,95.347419,0.00927010353225,0.0104456274644,0.463505176612,0.52228137322,0.00927233009132,0.000642908927168,0.00718778950551,0.0112961817214,0.0104486872085,0.00075634807277,0.00811726414722,0.013037322513,0.463616504566,0.0321454463584,0.359389475276,0.564809086069,0.522434360424,0.0378174036385,0.405863207361,0.651866125651,218.131702,15.207959,166.535323,267.523319,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,189.144000,13.775072,189.752597,172.000000,207.000000,151.000000,241.000000,215.351333,16.222738,263.177232,195.000000,236.000000,166.000000,270.000000,20242.297061,20242.297061,97.358543,93.528972,0.00934399882753,0.0106386806146,0.467199941376,0.531934030731,0.00934656108259,0.000681559082244,0.00739151225802,0.0119373996636,0.0106424953288,0.000814340656335,0.00822397485114,0.0132608774179,0.46732805413,0.0340779541122,0.369575612901,0.596869983181,0.53212476644,0.0407170328168,0.411198742557,0.663043870897,188.739154,13.773581,150.591622,240.596227,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,163.508000,12.750448,162.573936,148.000000,180.000000,123.000000,203.000000,187.752667,15.412922,237.558160,168.000000,208.100000,141.000000,240.000000,17395.085904,17395.085904,93.461001,92.163085,0.0093996661413,0.010793431415,0.469983307065,0.539671570751,0.00940218923018,0.00072989068199,0.00706215163271,0.0119207649766,0.0107971774313,0.000892726914872,0.00819676117387,0.0137178652244,0.470109461509,0.0364945340995,0.353107581636,0.596038248831,0.539858871566,0.0446363457436,0.409838058693,0.685893261218,163.160098,12.748946,122.681301,202.645012,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,141.705333,12.156418,147.778505,126.000000,157.000000,105.000000,184.000000,164.876667,14.587716,212.801456,146.000000,184.000000,122.000000,217.000000,14995.915108,14995.915108,93.461955,90.357035,0.00944959559378,0.0109947719412,0.472479779689,0.549738597059,0.00945235246275,0.000807023074044,0.00684940601638,0.0123114381842,0.0109989211503,0.00097941892704,0.00794667339087,0.0144613786829,0.472617623137,0.0403511537022,0.342470300819,0.615571909209,0.549946057517,0.048970946352,0.397333669543,0.723068934147,141.405415,12.155197,104.693404,183.701091,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,123.272000,10.883781,118.456683,110.000000,137.000000,91.000000,160.000000,145.466667,13.543888,183.436889,129.000000,163.000000,103.000000,187.000000,13033.894196,13033.894196,92.620814,88.908936,0.00945780272126,0.0111606450439,0.472890136063,0.558032252195,0.00946037063741,0.000829138431036,0.00703598687176,0.0123498220139,0.0111650615165,0.00104791195155,0.0079238206178,0.0147096606153,0.473018531871,0.0414569215518,0.351799343588,0.617491100694,0.558253075824,0.0523955975776,0.39619103089,0.735483030763,123.011322,10.882623,90.745460,159.733035,1,-0.001,50,distance
