rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.004,0.5,1,0.5,250,50,500,1,5000,1776707135,1500,250,347.340667,17.820156,317.557946,325.000000,370.000000,295.000000,411.000000,347.340667,17.820156,317.557946,325.000000,370.000000,295.000000,411.000000,178853.907517,178853.907517,494.309434,513.646543,0.0019420356619,0.0019420356619,0.485508915474,0.485508915474,0.00194257910918,0.000102091254007,0.00164126513869,0.00228200994832,0.00194257910918,0.000102091254007,0.00164126513869,0.00228200994832,0.485644777295,0.0255228135017,0.410316284673,0.570502487081,0.485644777295,0.0255228135017,0.410316284673,0.570502487081,343.763589,17.809984,291.451571,407.397912,1,-0.001,50,distance
0.004,0.5,1.1,0.5,250,50,500,1,5000,1776707135,1500,250,279.970000,16.628643,276.511767,258.000000,302.000000,225.000000,334.000000,279.970000,16.628643,276.511767,258.000000,302.000000,225.000000,334.000000,143981.198956,143981.198956,490.998685,512.754787,0.00194448998918,0.00194448998918,0.486122497295,0.486122497295,0.00194523599026,0.000118859515223,0.00157928609283,0.00232051836275,0.00194523599026,0.000118859515223,0.00157928609283,0.00232051836275,0.486308997566,0.0297148788057,0.394821523207,0.580129590688,0.486308997566,0.0297148788057,0.394821523207,0.580129590688,277.090376,16.620256,222.176069,331.053671,1,-0.001,50,distance
0.004,0.5,1.2,0.5,250,50,500,1,5000,1776707135,1500,250,222.128667,14.628469,213.992112,203.000000,241.000000,173.000000,268.000000,222.128667,14.628469,213.992112,203.000000,241.000000,173.000000,268.000000,113702.447511,113702.447511,489.006148,509.895502,0.00195359617606,0.00195359617606,0.488399044016,0.488399044016,0.00195449515036,0.000132337356146,0.00156380203716,0.00236401395689,0.00195449515036,0.000132337356146,0.00156380203716,0.00236401395689,0.488623787591,0.0330843390365,0.390950509291,0.591003489223,0.488623787591,0.0330843390365,0.390950509291,0.591003489223,219.854618,14.621069,170.787444,265.732670,1,-0.001,50,distance
0.004,0.5,1.3,0.5,250,50,500,1,5000,1776707135,1500,250,172.928667,12.862850,165.452912,157.000000,190.000000,132.000000,210.000000,172.928667,12.862850,165.452912,157.000000,190.000000,132.000000,210.000000,88244.364001,88244.364001,501.080410,507.627455,0.00195965678516,0.00195965678516,0.48991419629,0.48991419629,0.00196070745814,0.000148399352861,0.00154936609388,0.00242351282212,0.00196070745814,0.000148399352861,0.00154936609388,0.00242351282212,0.490176864534,0.0370998382151,0.387341523471,0.60587820553,0.490176864534,0.0370998382151,0.387341523471,0.60587820553,171.163779,12.855315,130.302695,208.203840,1,-0.001,50,distance
0.004,0.5,1.4,0.5,250,50,500,1,5000,1776707135,1500,250,133.451333,11.312632,127.975632,119.900000,148.000000,101.000000,180.000000,133.451333,11.312632,127.975632,119.900000,148.000000,101.000000,180.000000,67782.199598,67782.199598,484.120994,504.518069,0.00196882565224,0.00196882565224,0.492206413059,0.492206413059,0.00196988786748,0.000166889429754,0.00149203229369,0.00256108650394,0.00196988786748,0.000166889429754,0.00149203229369,0.00256108650394,0.492471966871,0.0417223574386,0.373008073423,0.640271625984,0.492471966871,0.0417223574386,0.373008073423,0.640271625984,132.095689,11.304471,99.668465,178.594347,1,-0.001,50,distance
0.004,0.5,1.5,0.5,250,50,500,1,5000,1776707135,1500,250,102.670667,10.161014,103.246206,90.000000,116.000000,70.000000,144.000000,102.670667,10.161014,103.246206,90.000000,116.000000,70.000000,144.000000,51614.843155,51614.843155,512.785096,498.064888,0.00198916940149,0.00198916940149,0.497292350373,0.497292350373,0.00199103038418,0.000202098214155,0.00134599376615,0.00275213539197,0.00199103038418,0.000202098214155,0.00134599376615,0.00275213539197,0.497757596044,0.0505245535387,0.336498441537,0.688033847992,0.497757596044,0.0505245535387,0.336498441537,0.688033847992,101.638370,10.156471,68.959876,142.817844,1,-0.001,50,distance
0.004,0.5,1.6,0.5,250,50,500,1,5000,1776707135,1500,250,79.239333,8.769230,76.899386,68.000000,91.000000,54.000000,109.000000,79.239333,8.769230,76.899386,68.000000,91.000000,54.000000,109.000000,39496.709063,39496.709063,480.947184,492.759453,0.0020062262202,0.0020062262202,0.501556555051,0.501556555051,0.00200826609011,0.000226199608193,0.00133859352807,0.0027384491624,0.00200826609011,0.000226199608193,0.00133859352807,0.0027384491624,0.502066522528,0.0565499020481,0.334648382017,0.6846122906,0.502066522528,0.0565499020481,0.334648382017,0.6846122906,78.449399,8.764978,53.193183,108.110836,1,-0.001,50,distance
0.004,0.5,1.7,0.5,250,50,500,1,5000,1776707135,1500,250,61.367333,7.913389,62.621733,52.000000,71.000000,30.000000,91.000000,61.367333,7.913389,62.621733,52.000000,71.000000,30.000000,91.000000,30334.268975,30334.268975,466.048482,486.673970,0.00202303649987,0.00202303649987,0.505759124967,0.505759124967,0.00202499752729,0.000262447393181,0.00110242886583,0.0029374330611,0.00202499752729,0.000262447393181,0.00110242886583,0.0029374330611,0.506249381823,0.0656118482953,0.275607216458,0.734358265275,0.506249381823,0.0656118482953,0.275607216458,0.734358265275,60.760648,7.909561,29.455747,90.380411,1,-0.001,50,distance
0.004,0.5,1.8,0.5,250,50,500,1,5000,1776707135,1500,250,47.428000,6.872225,47.227483,39.000000,56.000000,26.000000,71.000000,47.428000,6.872225,47.227483,39.000000,56.000000,26.000000,71.000000,23573.886381,23573.886381,483.405978,486.825117,0.00201188718883,0.00201188718883,0.502971797207,0.502971797207,0.0020140008454,0.00029270257276,0.00111845737807,0.00300660865029,0.0020140008454,0.00029270257276,0.00111845737807,0.00300660865029,0.50350021135,0.07317564319,0.279614344518,0.751652162574,0.50350021135,0.07317564319,0.279614344518,0.751652162574,46.956522,6.869338,25.567572,70.504762,1,-0.001,50,distance
0.004,0.5,1.9,0.5,250,50,500,1,5000,1776707135,1500,250,37.561333,6.210280,38.567572,30.000000,46.000000,18.000000,57.000000,37.561333,6.210280,38.567572,30.000000,46.000000,18.000000,57.000000,18643.039253,18643.039253,487.204595,484.106918,0.00201476448257,0.00201476448257,0.503691120642,0.503691120642,0.00201661660045,0.000331553942858,0.00105716347024,0.00310825214665,0.00201661660045,0.000331553942858,0.00105716347024,0.00310825214665,0.504154150112,0.0828884857145,0.264290867561,0.777063036664,0.504154150112,0.0828884857145,0.264290867561,0.777063036664,37.188473,6.207663,17.659466,56.592465,1,-0.001,50,distance
