rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.002,0.5,1,0.5,500,50,1000,0,2.5,300000,42,1500,500,18990.921333,134.521846,18096.127145,18828.900000,19160.000000,18500.000000,19437.000000,19665.065333,174.659962,30506.102398,19435.000000,19885.300000,19193.000000,20242.000000,19292056.042194,19292056.042194,1020.784300,980.984308,0.00098439074051,0.00101933486458,0.492195370255,0.509667432292,0.000984395952968,7.13154344472e-06,0.000961173545644,0.0010093046306,0.00101934423496,9.61732334351e-06,0.000991590875749,0.0010540753846,0.492197976484,0.0035657717223,0.480586772822,0.504652315298,0.509672117482,0.0048086616717,0.495795437875,0.527037692298,18605.080212,134.362278,18115.053908,19050.918223,1,-0.001,50,distance
0.002,0.5,1.1,0.5,500,50,1000,0,2.5,300000,42,1500,500,14753.820667,118.865753,14129.067173,14602.000000,14907.000000,14359.000000,15152.000000,15346.186667,150.151678,22545.526489,15155.900000,15536.100000,14883.000000,15855.000000,14955658.283433,14955658.283433,1025.453522,974.491355,0.000986504263942,0.00102611241684,0.493252131971,0.513056208421,0.000986512155863,8.18073209422e-06,0.000962878691295,0.0010110466373,0.00102612393298,1.05677647956e-05,0.000994183076182,0.00105843175813,0.493256077932,0.00409036604688,0.481439345648,0.50552331865,0.51306196649,0.00528388239776,0.497091538091,0.529215879064,14454.707501,118.716327,14060.748515,14852.270998,1,-0.001,50,distance
0.002,0.5,1.2,0.5,500,50,1000,0,2.5,300000,42,1500,500,11156.042000,100.969726,10194.885569,11028.000000,11281.000000,10839.000000,11510.000000,11666.016667,127.326003,16211.911056,11500.800000,11831.100000,11222.000000,12052.000000,11288360.732034,11288360.732034,1044.947531,967.546263,0.000988278304071,0.00103345533896,0.494139152036,0.516727669482,0.000988286149319,9.08853871313e-06,0.000961422010839,0.00102303966085,0.00103346641998,1.16598006285e-05,0.000995118779343,0.00106673755854,0.49414307466,0.00454426935655,0.480711005419,0.511519830427,0.516733209991,0.00582990031424,0.497559389671,0.533368779272,10930.274785,100.841105,10614.634645,11284.984286,1,-0.001,50,distance
0.002,0.5,1.3,0.5,500,50,1000,0,2.5,300000,42,1500,500,8260.465333,91.725661,8413.596798,8140.900000,8379.100000,7955.000000,8587.000000,8697.212667,109.532306,11997.326106,8560.000000,8842.000000,8332.000000,9038.000000,8339581.417364,8339581.417364,997.834506,958.772916,0.000990513182848,0.00104288359708,0.495256591424,0.521441798539,0.000990524479779,1.11359126375e-05,0.000952837366854,0.00102821391845,0.00104289971041,1.35885419694e-05,0.000997993832888,0.00108876113239,0.49526223989,0.00556795631876,0.476418683427,0.514106959225,0.521449855203,0.00679427098461,0.498996916444,0.544380566193,8093.673705,91.603545,7788.025020,8419.972500,1,-0.001,50,distance
0.002,0.5,1.4,0.5,500,50,1000,0,2.5,300000,42,1500,500,6032.556667,77.571740,6017.374789,5933.000000,6134.100000,5734.000000,6326.000000,6402.206000,91.319919,8339.327564,6284.000000,6516.000000,6090.000000,6747.000000,6069166.449819,6069166.449819,983.780293,947.828550,0.000993967905897,0.00105487401819,0.496983952948,0.527437009096,0.000993981563616,1.28778702739e-05,0.00095028705205,0.00104593389826,0.00105489227751,1.53963262643e-05,0.001001359849,0.00111710843957,0.496990781808,0.00643893513696,0.475143526025,0.52296694913,0.527446138755,0.00769816313218,0.500679924498,0.558554219784,5911.173338,77.467566,5613.320675,6205.036333,1,-0.001,50,distance
0.002,0.5,1.5,0.5,500,50,1000,0,2.5,300000,42,1500,500,4373.249333,67.555354,4563.725833,4288.000000,4461.000000,4146.000000,4694.000000,4684.862000,77.082105,5941.650956,4587.000000,4782.100000,4436.000000,5051.000000,4382056.576292,4382056.576292,982.469291,935.156749,0.000997990157634,0.00106910121274,0.498995078817,0.534550606369,0.000998005272736,1.53689357375e-05,0.000942301492051,0.00106533499664,0.00106912010863,1.770727512e-05,0.0010088018024,0.00114635855731,0.499002636368,0.0076844678687,0.471150746025,0.53266749832,0.534560054315,0.00885363755987,0.504400901198,0.573179278657,4285.608202,67.463069,4058.002686,4605.877484,1,-0.001,50,distance
0.002,0.5,1.6,0.5,500,50,1000,0,2.5,300000,42,1500,500,3172.947333,54.966152,3021.277893,3103.000000,3244.000000,3016.000000,3367.000000,3433.225333,63.246227,4000.085225,3353.000000,3517.000000,3215.000000,3642.000000,3167262.653666,3167262.653666,966.331114,922.238487,0.0010017948242,0.00108397241048,0.500897412101,0.541986205242,0.00100181778828,1.74701795157e-05,0.000954554021445,0.00106277921839,0.00108400040261,2.02578486027e-05,0.00101851888362,0.00115026505598,0.500908894138,0.00873508975793,0.477277010722,0.531389609196,0.542000201307,0.0101289243013,0.509259441808,0.575132527992,3109.602080,54.898146,2952.861409,3303.122650,1,-0.001,50,distance
0.002,0.5,1.7,0.5,500,50,1000,0,2.5,300000,42,1500,500,2322.279333,49.865539,2486.571973,2262.000000,2388.000000,2179.000000,2492.000000,2542.595333,56.719329,3217.082245,2468.900000,2615.000000,2377.000000,2769.000000,2306805.510890,2306805.510890,973.487187,906.857482,0.00100670790076,0.00110221486871,0.503353950381,0.551107434357,0.00100672722094,2.14136192471e-05,0.000946988584792,0.00109115080832,0.00110224051732,2.45745627275e-05,0.00103259333305,0.00119514695964,0.503363610472,0.0107068096236,0.473494292396,0.545575404158,0.551120258661,0.0122872813637,0.516296666523,0.597573479818,2276.143223,49.806033,2132.980438,2446.323454,1,-0.001,50,distance
0.002,0.5,1.8,0.5,500,50,1000,0,2.5,300000,42,1500,500,1727.088667,41.682892,1737.463472,1676.000000,1780.000000,1581.000000,1848.000000,1915.632000,47.901794,2294.581909,1856.000000,1977.000000,1758.000000,2056.000000,1708934.661068,1708934.661068,967.023861,891.583482,0.00101062299573,0.0011209509899,0.505311497863,0.56047549495,0.00101064979528,2.43798887859e-05,0.00092811601796,0.00108478653699,0.00112098665528,2.82614191389e-05,0.00102360272626,0.00120084866954,0.505324897641,0.012189944393,0.46405800898,0.542393268493,0.56049332764,0.0141307095695,0.51180136313,0.60042433477,1692.909973,41.645262,1546.930983,1813.364164,1,-0.001,50,distance
0.002,0.5,1.9,0.5,500,50,1000,0,2.5,300000,42,1500,500,1308.290667,35.396339,1252.900846,1262.900000,1355.000000,1204.000000,1416.000000,1471.511333,42.119851,1774.081872,1418.000000,1527.000000,1338.000000,1615.000000,1293457.837098,1293457.837098,987.568705,878.292705,0.00101146757872,0.00113765697739,0.50573378936,0.568828488695,0.00101150633178,2.77152797033e-05,0.000927560211567,0.0010942845318,0.00113770784742,3.31950732605e-05,0.00103969154186,0.00126323768324,0.505753165889,0.0138576398516,0.463780105784,0.547142265899,0.568853923711,0.0165975366302,0.519845770928,0.631618841621,1282.421510,35.377998,1178.039421,1389.769307,1,-0.001,50,distance
0.002,0.5,2,0.5,500,50,1000,0,2.5,300000,42,1500,500,1014.967333,31.895678,1017.334266,974.000000,1055.000000,916.000000,1117.000000,1161.178000,38.087946,1450.691649,1112.900000,1209.000000,1046.000000,1289.000000,1005390.754997,1005390.754997,930.168327,864.982281,0.00100952523015,0.00115495193707,0.504762615077,0.577475968537,0.00100955127421,3.15546774252e-05,0.000916106347991,0.00111461640585,0.00115499213156,3.80199471897e-05,0.00104672542178,0.00128624937076,0.504775637107,0.0157773387126,0.458053173995,0.557308202926,0.577496065779,0.0190099735948,0.523362710891,0.643124685382,994.859518,31.872900,896.146807,1096.957230,1,-0.001,50,distance
0.002,0.5,2.1,0.5,500,50,1000,0,2.5,300000,42,1500,500,802.490667,28.497495,812.107246,765.000000,838.100000,710.000000,895.000000,936.470667,35.743771,1277.617140,891.000000,982.000000,833.000000,1056.000000,804338.307810,804338.307810,962.191588,857.808038,0.000997702905449,0.00116427460631,0.498851452725,0.582137303155,0.00099772854268,3.52968237308e-05,0.000884796403474,0.00111329051268,0.00116431553429,4.45969240486e-05,0.00103368386335,0.0013108133638,0.49886427134,0.0176484118654,0.442398201737,0.55664525634,0.582157767144,0.0222984620243,0.516841931677,0.6554066819,786.403901,28.481727,693.951110,878.921537,1,-0.001,50,distance
0.002,0.5,2.2,0.5,500,50,1000,0,2.5,300000,42,1500,500,651.721333,25.619465,656.357012,618.900000,685.000000,553.000000,735.000000,777.266000,32.234525,1039.064577,737.000000,819.000000,663.000000,898.000000,663344.406114,663344.406114,948.406688,852.059366,0.000982478072215,0.00117173822955,0.491239036107,0.585869114773,0.000982483494608,3.81275121254e-05,0.000829671994617,0.00110640437775,0.00117175272756,4.82341862522e-05,0.000994706206928,0.00135177024656,0.491241747304,0.0190637560627,0.414835997309,0.553202188877,0.585876363779,0.0241170931261,0.497353103464,0.675885123281,638.454445,25.604572,539.669431,721.713719,1,-0.001,50,distance
0.002,0.5,2.3,0.5,500,50,1000,0,2.5,300000,42,1500,500,537.938000,23.720810,562.676823,508.000000,570.000000,464.000000,626.000000,660.698667,31.747418,1007.898532,621.000000,702.000000,559.000000,766.000000,561892.809622,561892.809622,1045.426571,848.734682,0.000957367652315,0.00117584467242,0.478683826157,0.587922336212,0.000957371293793,4.17738473043e-05,0.000822646854094,0.00111498910587,0.00117585963327,5.62217338068e-05,0.000992832889872,0.00135722316082,0.478685646896,0.0208869236521,0.411323427047,0.557494552936,0.587929816633,0.0281108669034,0.496416444936,0.678611580411,526.700144,23.709687,452.719339,614.771191,1,-0.001,50,distance
0.002,0.5,2.4,0.5,500,50,1000,0,2.5,300000,42,1500,500,452.947333,21.536277,463.811226,426.000000,480.100000,375.000000,527.000000,573.708667,29.544517,872.878458,536.900000,611.000000,458.000000,679.000000,488350.080750,488350.080750,997.496922,849.281907,0.00092750539252,0.00117478974466,0.46375269626,0.587394872328,0.000927504588738,4.36912668868e-05,0.000773655920928,0.00107839765375,0.00117480787437,6.0393780287e-05,0.000944891764761,0.00138465546152,0.463752294369,0.0218456334434,0.386827960464,0.539198826877,0.587403937185,0.0301968901435,0.47244588238,0.692327730758,443.180332,21.528276,365.305768,517.226240,1,-0.001,50,distance
0.002,0.5,2.5,0.5,500,50,1000,0,2.5,300000,42,1500,500,384.731333,20.417194,416.861818,359.000000,410.000000,321.000000,453.000000,505.005333,29.183534,851.678638,467.000000,541.100000,400.000000,603.000000,433904.348224,433904.348224,1047.116859,856.782769,0.000886673145609,0.00116386326941,0.443336572805,0.581931634703,0.000886672887212,4.68102003714e-05,0.000739832607285,0.00104266107527,0.00116389180748,6.74711375188e-05,0.00093146608361,0.00139334649186,0.443336443606,0.0234051001857,0.369916303642,0.521330537633,0.581945903741,0.0337355687594,0.465733041805,0.696673245931,376.053246,20.412340,312.322361,444.310695,1,-0.001,50,distance
0.002,0.5,2.6,0.5,500,50,1000,0,2.5,300000,42,1500,500,331.730667,20.185361,407.448793,305.000000,356.000000,256.000000,406.000000,453.213333,28.721742,824.938489,417.000000,491.000000,363.000000,547.000000,392819.343143,392819.343143,1028.653442,864.028610,0.000844486587683,0.0011537449498,0.422243293841,0.576872474898,0.000844465765526,5.08848154448e-05,0.000650761305778,0.00103040517821,0.00115375569369,7.30948182642e-05,0.000922759195303,0.00139370055148,0.422232882763,0.0254424077224,0.325380652889,0.515202589103,0.576877846847,0.0365474091321,0.461379597652,0.696850275738,323.874280,20.179139,248.132292,398.119605,1,-0.001,50,distance
0.002,0.5,2.7,0.5,500,50,1000,0,2.5,300000,42,1500,500,287.768667,18.890645,356.856485,264.000000,312.000000,220.000000,353.000000,411.086667,28.592828,817.549822,376.000000,449.000000,320.000000,515.000000,361069.850693,361069.850693,1122.267190,875.013799,0.000796988909802,0.00113852393346,0.398494454901,0.569261966732,0.000796970276823,5.19151165964e-05,0.00060847681281,0.000973635122451,0.00113852618525,7.9065199813e-05,0.00088653260105,0.00142181472951,0.398485138411,0.0259575582982,0.304238406405,0.486817561225,0.569263092627,0.0395325999065,0.443266300525,0.710907364755,280.547270,18.886092,212.768829,345.748824,1,-0.001,50,distance
0.002,0.5,2.8,0.5,500,50,1000,0,2.5,300000,42,1500,500,251.451333,17.786314,316.352965,229.000000,274.000000,187.000000,314.000000,376.802000,27.320690,746.420129,342.000000,411.000000,299.000000,478.000000,336225.868772,336225.868772,1157.518871,888.663477,0.000747864327786,0.00112068117,0.373932163893,0.560340585001,0.000747849619481,5.26286964439e-05,0.000556636614703,0.000925505209966,0.00112068058613,8.11579322922e-05,0.000888050501789,0.00142121749685,0.373924809741,0.0263143482219,0.278318307351,0.462752604983,0.560340293063,0.0405789661461,0.444025250894,0.710608748423,244.726816,17.783249,180.281074,307.214517,1,-0.001,50,distance
0.002,0.5,2.9,0.5,500,50,1000,0,2.5,300000,42,1500,500,221.727333,16.972163,288.054320,200.000000,243.000000,157.000000,281.000000,346.969333,27.685551,766.489726,311.000000,382.000000,265.000000,441.000000,316348.013087,316348.013087,1202.635768,907.337507,0.000700896873572,0.0010967963097,0.350448436786,0.548398154848,0.000700868727526,5.32331677215e-05,0.00049755141508,0.000882878262391,0.00109678796868,8.73547048013e-05,0.000839816082779,0.0013975506646,0.350434363763,0.0266165838607,0.24877570754,0.441439131195,0.548393984338,0.0436773524006,0.419908041389,0.698775332298,215.400373,16.968066,150.689094,274.634456,1,-0.001,50,distance
0.002,0.5,3,0.5,500,50,1000,0,2.5,300000,42,1500,500,198.194667,16.270447,264.727438,177.000000,219.000000,148.000000,247.000000,326.601333,27.117984,735.385065,292.000000,361.000000,237.000000,419.000000,300122.115846,300122.115846,1266.291797,914.113281,0.000660380079314,0.00108822814477,0.330190039657,0.544114072387,0.000660369435181,5.4056357804e-05,0.000493594064938,0.000826226755967,0.0010882410827,9.04648593439e-05,0.000790810446957,0.0013977429415,0.330184717591,0.027028178902,0.246797032469,0.413113377983,0.544120541351,0.045232429672,0.395405223479,0.698871470751,192.192224,16.268712,142.003169,241.021012,1,-0.001,50,distance
