rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.002,0.5,1,0.5,500,50,1000,0,300000,42,2000,500,1055.452000,1030.375380,1061673.424696,113.900000,2391.000000,2.000000,8114.000000,284445.530000,15208.693632,231304361.990082,264706.300000,298400.400000,180764.000000,299998.000000,1163919.193656,1163919.193656,1014.212593,4.088337,0.000906808656265,0.244385977609,0.453404328133,122.192988805,0.000808174765513,0.000193609315841,1.67341526358e-05,0.00108905227022,0.611212356293,0.849041222021,0.0216729919383,14.7109519081,0.404087382757,0.0968046579204,0.00836707631788,0.54452613511,305.606178146,424.520611011,10.8364959692,7355.47595407,1032.173616,1009.566215,-0.390321,7947.189621,1,-0.001,50,distance
0.002,0.5,1.1,0.5,500,50,1000,0,300000,42,2000,500,1023.155000,1069.821118,1144517.223975,103.900000,2372.300000,2.000000,8440.000000,280251.210000,20690.539991,428098445.138885,253988.400000,297989.700000,136192.000000,299978.000000,1128910.235822,1128910.235822,1009.978606,4.024619,0.000906320952308,0.24824933029,0.453160476154,124.124665145,0.000800721511898,0.000199558825404,1.58259854451e-05,0.0011152804831,0.606246268745,0.715852164259,0.0157464318351,8.98401827015,0.400360755949,0.0997794127021,0.00791299272256,0.55764024155,303.123134372,357.926082129,7.87321591756,4492.00913508,1000.576795,1048.287303,-0.527489,8267.018589,1,-0.001,50,distance
0.002,0.5,1.2,0.5,500,50,1000,0,300000,42,2000,500,1082.669000,1048.094679,1098502.456439,122.000000,2459.100000,2.000000,8040.000000,271997.863000,27172.412304,738339990.436234,236704.100000,296754.600000,93381.000000,299984.000000,1185606.055607,1185606.055607,1058.629912,4.355004,0.000913177690751,0.229416728865,0.456588845376,114.708364433,0.000818180813662,0.000192500893027,1.85667422912e-05,0.00107151108541,0.554720067702,0.689605940555,0.0114495641168,8.66275396467,0.409090406831,0.0962504465135,0.0092833711456,0.535755542704,277.360033851,344.802970278,5.72478205838,4331.37698233,1058.956879,1027.035630,-0.154390,7876.882873,1,-0.001,50,distance
0.002,0.5,1.3,0.5,500,50,1000,0,300000,42,2000,500,1005.212500,1008.709052,1017493.952344,97.000000,2346.300000,2.000000,7449.000000,264584.577500,35637.615711,1270039653.530991,218164.200000,296674.100000,39130.000000,299991.000000,1102269.982090,1102269.982090,986.255959,4.162328,0.000911947632007,0.240036090794,0.455973816004,120.018045397,0.000802039886051,0.000207063645496,1.87535944979e-05,0.00109706955243,0.597730019867,0.682387746576,0.00516743014725,6.96041879068,0.401019943026,0.103531822748,0.00937679724893,0.548534776214,298.865009933,341.193873288,2.58371507363,3480.20939534,983.167100,988.631805,-0.132924,7297.551412,1,-0.001,50,distance
0.002,0.5,1.4,0.5,500,50,1000,0,300000,42,2000,500,1055.900000,1025.454948,1051557.851000,109.000000,2427.200000,2.000000,6037.000000,248549.435500,50103.779566,2510388726.769836,182180.100000,294803.300000,6576.000000,299972.000000,1144848.109074,1144848.109074,974.798187,4.602210,0.00092230575535,0.217102542713,0.461152877675,108.551271356,0.000817380756931,0.000201274697117,1.37169580463e-05,0.00117230647755,0.579757965757,0.770364826856,0.00109503723833,11.0237867057,0.408690378465,0.100637348559,0.00685847902317,0.586153238775,289.878982878,385.182413428,0.547518619163,5511.89335284,1033.003038,1005.161012,-0.916098,5914.979828,1,-0.001,50,distance
0.002,0.5,1.5,0.5,500,50,1000,0,300000,42,2000,500,1049.988500,980.808181,961984.687368,117.900000,2397.300000,2.000000,4502.000000,229083.696500,66389.920139,4407621496.017387,136582.000000,292418.900000,4822.000000,299985.000000,1127521.269164,1127521.269164,965.027585,4.917629,0.000931236091695,0.203174612103,0.465618045848,101.587306051,0.000829921666087,0.000197985431129,1.55955550055e-05,0.00107098419719,0.542667673652,0.68737128113,0.00110406247853,9.34618046523,0.414960833044,0.0989927155646,0.00779777750273,0.535492098593,271.333836826,343.685640565,0.552031239266,4673.09023261,1027.438075,961.606477,-0.564833,4414.490477,1,-0.001,50,distance
0.002,0.5,1.6,0.5,500,50,1000,0,300000,42,2000,500,1006.283000,882.621734,779021.125911,109.800000,2418.500000,5.000000,3260.000000,205904.032500,82801.653443,6856113812.891441,72560.700000,289645.600000,3555.000000,299884.000000,1072595.564447,1072595.564447,968.585751,5.204249,0.000938175611903,0.191968006698,0.469087805952,95.984003349,0.000834270275811,0.000204123011336,3.3855013122e-05,0.00105885206054,0.537941458478,0.695493793316,0.00113103897241,6.71317435999,0.417135137905,0.102061505668,0.016927506561,0.529426030271,268.970729239,347.746896658,0.565519486203,3356.58718,984.831089,865.562087,2.046228,3196.754325,1,-0.001,50,distance
0.002,0.5,1.7,0.5,500,50,1000,0,300000,42,2000,500,939.091000,745.497768,555766.922719,120.000000,2270.100000,2.000000,2436.000000,179807.917500,95678.530947,9154381284.168690,2898.800000,285366.100000,2649.000000,299983.000000,991529.954731,991529.954731,963.638249,5.508495,0.000947113090754,0.181343908615,0.473556545377,90.6719543076,0.000846944574969,0.000207301660289,2.11504262289e-05,0.00112189755956,0.521747244579,0.886658365945,0.00115138154213,24.3952821686,0.423472287485,0.103650830144,0.0105752131145,0.560948779782,260.87362229,443.329182972,0.575690771064,12197.6410843,919.260401,731.353114,0.108785,2389.345557,1,-0.001,50,distance
0.002,0.5,1.8,0.5,500,50,1000,0,300000,42,2000,500,832.570500,595.106542,354151.796030,101.000000,1721.000000,2.000000,1853.000000,156493.063500,102902.130610,10588848484.053474,2190.900000,282431.500000,2004.000000,299899.000000,874422.642041,874422.642041,967.715389,5.580384,0.000952137398977,0.178967304797,0.476068699489,89.4836523987,0.000852517894978,0.000219590242351,1.78563635086e-05,0.001093438373,0.488055676689,0.665105397191,0.00117381742975,5.91489483151,0.426258947489,0.109795121175,0.00892818175428,0.5467191865,244.027838344,332.552698596,0.586908714875,2957.44741575,815.082047,584.080763,-0.240098,1818.700666,1,-0.001,50,distance
0.002,0.5,1.9,0.5,500,50,1000,0,300000,42,2000,500,745.217000,466.266439,217404.391911,124.900000,1315.100000,2.000000,1397.000000,129832.103000,106836.111151,11413954645.801390,1701.000000,271690.700000,1557.000000,299920.000000,778648.582749,778648.582749,975.077525,5.987935,0.000957064607206,0.166740306059,0.478532303603,83.3701530296,0.000874488524786,0.000197296533271,1.53004866842e-05,0.00109601588382,0.454250891759,0.694428739177,0.00121031660751,8.38287533109,0.437244262393,0.0986482666357,0.00765024334208,0.548007941908,227.12544588,347.214369589,0.605158303756,4191.43766554,729.644028,457.754523,-0.614296,1371.290564,1,-0.001,50,distance
