rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.2,0.5,1,0.5,5,50,200,1,100000,42,1500,5,12826.901333,649.954281,422440.567598,11982.000000,13594.100000,9930.000000,14532.000000,12826.901333,649.954281,422440.567598,11982.000000,13594.100000,9930.000000,14532.000000,180583.555056,180583.555056,7.617056,14.077458,0.0710302847309,0.0710302847309,0.355151423655,0.355151423655,0.0710467342674,0.00388630208678,0.0539411333099,0.0814421057209,0.0710467342674,0.00388630208678,0.0539411333099,0.0814421057209,0.355233671337,0.0194315104339,0.26970566655,0.407210528605,0.355233671337,0.0194315104339,0.26970566655,0.407210528605,12823.289662,649.969274,9926.318209,14528.431330,1,-0.001,50,distance
0.2,0.5,1.1,0.5,5,50,200,1,100000,42,1500,5,12327.587333,632.438010,399977.837040,11498.600000,13073.000000,9446.000000,14149.000000,12327.587333,632.438010,399977.837040,11498.600000,13073.000000,9446.000000,14149.000000,173899.700521,173899.700521,7.518612,14.105411,0.0708890659177,0.0708890659177,0.354445329589,0.354445329589,0.0709050451699,0.00391393199418,0.0533176077982,0.0823400196715,0.0709050451699,0.00391393199418,0.0533176077982,0.0823400196715,0.354525225849,0.0195696599709,0.266588038991,0.411700098358,0.354525225849,0.0195696599709,0.266588038991,0.411700098358,12324.109339,632.451943,9442.456705,14145.563275,1,-0.001,50,distance
0.2,0.5,1.2,0.5,5,50,200,1,100000,42,1500,5,11745.866000,630.454286,397472.606711,10947.800000,12470.100000,8421.000000,13321.000000,11745.866000,630.454286,397472.606711,10947.800000,12470.100000,8421.000000,13321.000000,167412.500860,167412.500860,7.273382,14.251745,0.0701612241598,0.0701612241598,0.350806120799,0.350806120799,0.0701774233675,0.00403239594211,0.0492501672955,0.0802486922941,0.0701774233675,0.00403239594211,0.0492501672955,0.0802486922941,0.350887116837,0.0201619797106,0.246250836477,0.401243461471,0.350887116837,0.0201619797106,0.246250836477,0.401243461471,11742.517750,630.467477,8417.580316,13317.673703,1,-0.001,50,distance
0.2,0.5,1.3,0.5,5,50,200,1,100000,42,1500,5,11239.120667,589.886526,347966.114106,10436.900000,11927.100000,8508.000000,12886.000000,11239.120667,589.886526,347966.114106,10436.900000,11927.100000,8508.000000,12886.000000,161029.067431,161029.067431,7.279225,14.326220,0.0697956017875,0.0697956017875,0.348978008938,0.348978008938,0.0698100879145,0.00390931010381,0.0520313431522,0.0809170495423,0.0698100879145,0.00390931010381,0.0520313431522,0.0809170495423,0.349050439573,0.0195465505191,0.260156715761,0.404585247712,0.349050439573,0.0195465505191,0.260156715761,0.404585247712,11235.900085,589.898177,8504.729664,12882.815010,1,-0.001,50,distance
0.2,0.5,1.4,0.5,5,50,200,1,100000,42,1500,5,10679.942667,606.451647,367783.600713,9855.500000,11402.300000,7661.000000,12084.000000,10679.942667,606.451647,367783.600713,9855.500000,11402.300000,7661.000000,12084.000000,154879.936665,154879.936665,7.389615,14.500701,0.0689562695895,0.0689562695895,0.344781347948,0.344781347948,0.0689719160148,0.00416249639537,0.0484630205829,0.0787536753013,0.0689719160148,0.00416249639537,0.0484630205829,0.0787536753013,0.344859580074,0.0208124819768,0.242315102914,0.393768376507,0.344859580074,0.0208124819768,0.242315102914,0.393768376507,10676.845068,606.463033,7657.838414,12080.931191,1,-0.001,50,distance
0.2,0.5,1.5,0.5,5,50,200,1,100000,42,1500,5,10201.479333,559.834818,313415.022906,9467.400000,10873.000000,7657.000000,11589.000000,10201.479333,559.834818,313415.022906,9467.400000,10873.000000,7657.000000,11589.000000,148862.684315,148862.684315,7.245712,14.590602,0.068529459752,0.068529459752,0.34264729876,0.34264729876,0.0685431998261,0.00398666148533,0.0504858940987,0.0786544190615,0.0685431998261,0.00398666148533,0.0504858940987,0.0786544190615,0.342715999131,0.0199333074267,0.252429470494,0.393272095307,0.342715999131,0.0199333074267,0.252429470494,0.393272095307,10198.502080,559.844810,7653.966677,11586.053185,1,-0.001,50,distance
0.2,0.5,1.6,0.5,5,50,200,1,100000,42,1500,5,9677.518000,577.817771,333873.376343,8909.900000,10362.200000,7181.000000,10942.000000,9677.518000,577.817771,333873.376343,8909.900000,10362.200000,7181.000000,10942.000000,143127.490130,143127.490130,7.718117,14.787952,0.0676146699089,0.0676146699089,0.338073349545,0.338073349545,0.0676292747568,0.0042565071206,0.0494711269584,0.0772166902568,0.0676292747568,0.0042565071206,0.0494711269584,0.0772166902568,0.338146373784,0.021282535603,0.247355634792,0.386083451284,0.338146373784,0.021282535603,0.247355634792,0.386083451284,9674.655450,577.827363,7178.096892,10939.165898,1,-0.001,50,distance
0.2,0.5,1.7,0.5,5,50,200,1,100000,42,1500,5,9202.913333,541.393448,293106.865822,8501.900000,9860.000000,7125.000000,10753.000000,9202.913333,541.393448,293106.865822,8501.900000,9860.000000,7125.000000,10753.000000,137603.111106,137603.111106,7.238857,14.950117,0.0668801254519,0.0668801254519,0.334400627259,0.334400627259,0.066893506675,0.00414143699869,0.05120523525,0.0787388294018,0.066893506675,0.00414143699869,0.05120523525,0.0787388294018,0.334467533375,0.0207071849934,0.25602617625,0.393694147009,0.334467533375,0.0207071849934,0.25602617625,0.393694147009,9200.161271,541.402095,7122.217081,10750.268692,1,-0.001,50,distance
0.2,0.5,1.8,0.5,5,50,200,1,100000,42,1500,5,8745.122000,551.143926,303759.627116,8020.900000,9393.000000,6128.000000,10328.000000,8745.122000,551.143926,303759.627116,8020.900000,9393.000000,6128.000000,10328.000000,132334.911953,132334.911953,7.261823,15.130348,0.066083257025,0.066083257025,0.330416285125,0.330416285125,0.0660969173993,0.00436020654068,0.0455702210068,0.0790246845007,0.0660969173993,0.00436020654068,0.0455702210068,0.0790246845007,0.330484586996,0.0218010327034,0.227851105034,0.395123422504,0.330484586996,0.0218010327034,0.227851105034,0.395123422504,8742.475302,551.152014,6125.310524,10325.386133,1,-0.001,50,distance
0.2,0.5,1.9,0.5,5,50,200,1,100000,42,1500,5,8292.346667,518.212627,268544.326489,7605.900000,8915.000000,6024.000000,9569.000000,8292.346667,518.212627,268544.326489,7605.900000,8915.000000,6024.000000,9569.000000,127340.123153,127340.123153,7.044329,15.354131,0.0651196689728,0.0651196689728,0.325598344864,0.325598344864,0.0651318848417,0.00424668093515,0.046679114287,0.0757850522495,0.0651318848417,0.00424668093515,0.046679114287,0.0757850522495,0.325659424209,0.0212334046757,0.233395571435,0.378925261247,0.325659424209,0.0212334046757,0.233395571435,0.378925261247,8289.799864,518.219752,6021.418974,9566.474700,1,-0.001,50,distance
