rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.001,0.5,1,0.5,1000,50,2000,0,300000,42,1500,1000,19535.736000,145.143592,21066.662304,19350.900000,19721.000000,18911.000000,19973.000000,19620.159333,145.895453,21285.483280,19432.800000,19813.100000,18965.000000,20052.000000,39450564.537984,39450564.537984,2031.006320,2010.612666,0.000495195347108,0.000497335324934,0.495195347108,0.497335324934,0.000495195633778,3.41083839074e-06,0.000482657250264,0.000505250901707,0.0004973356537,3.43490368142e-06,0.000484373364931,0.000506691552106,0.495195633778,0.00341083839089,0.482657250264,0.505250901707,0.4973356537,0.00343490368132,0.484373364931,0.506691552106,18746.724709,144.276869,18129.561826,19181.422490,1,-0.001,50,distance
0.001,0.5,1.1,0.5,1000,50,2000,0,300000,42,1500,1000,14491.960000,130.492946,17028.409067,14318.900000,14651.000000,14085.000000,14867.000000,14565.373333,130.226938,16959.055289,14393.000000,14724.000000,14160.000000,14956.000000,29249417.820423,29249417.820423,2097.332317,2008.009191,0.000495461485387,0.000497971392893,0.495461485387,0.497971392893,0.000495461619125,4.10068305368e-06,0.000483287665935,0.000507061265387,0.000497971739363,4.11264972027e-06,0.000485961383038,0.000509520903674,0.495461619125,0.00410068305357,0.483287665935,0.507061265387,0.497971739363,0.00411264972024,0.485961383038,0.509520903674,13906.971644,129.669926,13502.117341,14278.798457,1,-0.001,50,distance
0.001,0.5,1.2,0.5,1000,50,2000,0,300000,42,1500,1000,10387.690000,108.519519,11776.485900,10248.000000,10527.000000,10052.000000,10825.000000,10451.718000,110.107874,12123.743809,10314.900000,10594.000000,10099.000000,10888.000000,20942297.973470,20942297.973470,1915.641594,2003.539214,0.000496014812374,0.000499072165492,0.496014812374,0.499072165492,0.000496015188447,4.7785735939e-06,0.000479462752629,0.000511068336625,0.000499072581508,4.85961332613e-06,0.000481502817775,0.000514042683526,0.496015188447,0.00477857359372,0.479462752629,0.511068336625,0.499072581508,0.00485961332613,0.481502817775,0.514042683526,9968.844041,107.846783,9636.589384,10401.377591,1,-0.001,50,distance
0.001,0.5,1.3,0.5,1000,50,2000,0,300000,42,1500,1000,7242.682000,91.584312,8387.686209,7123.000000,7358.000000,6972.000000,7535.000000,7300.969333,93.010876,8651.023060,7179.000000,7416.100000,7025.000000,7596.000000,14570781.563277,14570781.563277,1961.045906,1995.454076,0.000497068875032,0.000501069163766,0.497068875032,0.501069163766,0.000497068238886,5.73936156633e-06,0.000479533674674,0.000516708698623,0.000501068837832,5.8643411123e-06,0.000483179010985,0.000519453499147,0.497068238886,0.00573936156633,0.479533674674,0.516708698623,0.501068837832,0.00586434111213,0.483179010985,0.519453499147,6951.266369,91.009089,6681.217502,7242.254751,1,-0.001,50,distance
0.001,0.5,1.4,0.5,1000,50,2000,0,300000,42,1500,1000,4954.482000,72.620881,5273.792343,4861.000000,5047.000000,4641.000000,5182.000000,5010.246000,74.161339,5499.904151,4916.000000,5104.100000,4707.000000,5233.000000,9941120.627980,9941120.627980,1984.202929,1983.752637,0.000498382645721,0.00050399207368,0.498382645721,0.50399207368,0.000498383498013,6.7588392607e-06,0.000468534342784,0.00052057161105,0.000503993160402,6.92971253415e-06,0.000475197403897,0.000525694951876,0.498383498013,0.00675883926077,0.468534342784,0.52057161105,0.503993160402,0.00692971253413,0.475197403897,0.525694951876,4755.659587,72.184623,4442.892857,4982.911157,1,-0.001,50,distance
0.001,0.5,1.5,0.5,1000,50,2000,0,300000,42,1500,1000,3352.342000,62.160489,3863.926369,3273.000000,3433.000000,3166.000000,3555.000000,3406.897333,63.734325,4062.064126,3326.000000,3489.000000,3223.000000,3609.000000,6707409.788003,6707409.788003,1872.771736,1968.189757,0.000499796807703,0.000507930399515,0.499796807703,0.507930399515,0.000499795654987,8.5289563595e-06,0.000471065449801,0.000531663588848,0.000507929550117,8.77642603579e-06,0.000479546413363,0.000537849232191,0.499795654987,0.00852895635949,0.471065449801,0.531663588848,0.507929550117,0.0087764260358,0.479546413363,0.537849232191,3218.193804,61.802631,3031.581311,3419.395512,1,-0.001,50,distance
0.001,0.5,1.6,0.5,1000,50,2000,0,300000,42,1500,1000,2273.361333,49.673039,2467.410772,2209.000000,2336.000000,2116.000000,2431.000000,2329.457333,52.205021,2725.364180,2264.000000,2398.000000,2164.000000,2496.000000,4527626.876836,4527626.876836,2016.748208,1942.776263,0.000502108807809,0.000514498521345,0.502108807809,0.514498521345,0.000502110829311,1.03511961908e-05,0.000471360257417,0.000538009652084,0.000514501400487,1.09488156571e-05,0.000479361086305,0.000552394936899,0.502110829311,0.0103511961907,0.471360257417,0.538009652084,0.514501400487,0.0109488156572,0.479361086305,0.552394936899,2182.808796,49.443618,2026.217293,2340.629874,1,-0.001,50,distance
0.001,0.5,1.7,0.5,1000,50,2000,0,300000,42,1500,1000,1558.291333,40.810045,1665.459792,1506.000000,1610.000000,1399.000000,1686.000000,1616.984000,42.915231,1841.717077,1559.000000,1671.000000,1444.000000,1752.000000,3088065.985241,3088065.985241,1962.415450,1908.554260,0.000504617239651,0.000523623526093,0.504617239651,0.523623526093,0.000504617962249,1.24713020347e-05,0.00045962135844,0.000548680551313,0.000523627143984,1.32527374507e-05,0.000474405462178,0.000570159149407,0.504617962249,0.0124713020347,0.45962135844,0.548680551313,0.523627143984,0.0132527374508,0.474405462178,0.570159149407,1496.530014,40.630044,1338.123804,1624.543475,1,-0.001,50,distance
0.001,0.5,1.8,0.5,1000,50,2000,0,300000,42,1500,1000,1089.097333,35.235340,1241.529193,1044.000000,1134.000000,984.000000,1208.000000,1150.526000,38.220169,1460.781324,1101.000000,1199.000000,1030.000000,1280.000000,2148552.901161,2148552.901161,1960.065650,1865.680779,0.000506898076722,0.000535488793121,0.506898076722,0.535488793121,0.00050690003997,1.57253871771e-05,0.000456260971626,0.000561247889729,0.000535493877527,1.71890204267e-05,0.000481299683483,0.000594121935031,0.50690003997,0.0157253871771,0.456260971626,0.561247889729,0.535493877527,0.0171890204267,0.481299683483,0.594121935031,1046.126275,35.118027,940.866791,1164.911202,1,-0.001,50,distance
0.001,0.5,1.9,0.5,1000,50,2000,0,300000,42,1500,1000,782.045333,28.976415,839.632612,745.000000,820.000000,681.000000,876.000000,846.649333,32.200389,1036.865033,805.000000,889.000000,745.000000,952.000000,1538079.561663,1538079.561663,1967.448569,1814.222750,0.000508455708551,0.00055045873727,0.508455708551,0.55045873727,0.000508465719137,1.83402424556e-05,0.000439970597235,0.000564514676426,0.000550476186866,2.0582830887e-05,0.000482610919434,0.000614380297343,0.508465719137,0.0183402424556,0.439970597235,0.564514676426,0.550476186866,0.0205828308869,0.482610919434,0.614380297343,751.283742,28.903707,650.043386,844.964492,1,-0.001,50,distance
