rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,5,50,500,1,200000,42,1000,50,2788.131000,148.441348,22034.833839,2585.000000,2969.200000,2253.000000,3153.000000,2788.131000,148.441348,22034.833839,2585.000000,2969.200000,2253.000000,3153.000000,387834.452783,387834.452783,90.805232,139.058507,0.00718897194406,0.00718897194406,0.359448597203,0.359448597203,0.00718914924263,0.000385847953973,0.00579626857277,0.00814790890183,0.00718914924263,0.000385847953973,0.00579626857277,0.00814790890183,0.359457462131,0.0192923976986,0.289813428639,0.407395445091,0.359457462131,0.0192923976986,0.289813428639,0.407395445091,2780.374311,148.444591,2245.226033,3145.260591,1,-0.001,50,distance
0.02,0.5,1.1,0.5,5,50,500,1,200000,42,1000,50,2648.762000,147.885068,21869.993356,2454.000000,2834.300000,1981.000000,3029.000000,2648.762000,147.885068,21869.993356,2454.000000,2834.300000,1981.000000,3029.000000,372369.948091,372369.948091,97.099583,140.529475,0.00711325393894,0.00711325393894,0.355662696947,0.355662696947,0.00711341123304,0.000399737014264,0.00531048520184,0.00812934504042,0.00711341123304,0.000399737014264,0.00531048520184,0.00812934504042,0.355670561652,0.0199868507132,0.265524260092,0.406467252021,0.355670561652,0.0199868507132,0.265524260092,0.406467252021,2641.314601,147.887710,1973.539288,3021.547985,1,-0.001,50,distance
0.02,0.5,1.2,0.5,5,50,500,1,200000,42,1000,50,2527.213000,142.934837,20430.367631,2333.900000,2698.100000,1969.000000,2850.000000,2527.213000,142.934837,20430.367631,2333.900000,2698.100000,1969.000000,2850.000000,357185.351417,357185.351417,91.666185,141.282722,0.00707535454624,0.00707535454624,0.353767727312,0.353767727312,0.00707553702547,0.000403197699726,0.00550746040744,0.00799669157471,0.00707553702547,0.000403197699726,0.00550746040744,0.00799669157471,0.353776851273,0.0201598849863,0.275373020372,0.399834578735,0.353776851273,0.0201598849863,0.275373020372,0.399834578735,2520.069293,142.937784,1961.849699,2842.872052,1,-0.001,50,distance
0.02,0.5,1.3,0.5,5,50,500,1,200000,42,1000,50,2403.067000,129.903197,16874.840511,2237.000000,2569.000000,1838.000000,2731.000000,2403.067000,129.903197,16874.840511,2237.000000,2569.000000,1838.000000,2731.000000,342391.314125,342391.314125,90.377749,142.426012,0.0070184811964,0.0070184811964,0.35092405982,0.35092405982,0.00701861515162,0.00038165804619,0.00536197994998,0.00799934091973,0.00701861515162,0.00038165804619,0.00536197994998,0.00799934091973,0.350930757581,0.0190829023095,0.268098997499,0.399967045986,0.350930757581,0.0190829023095,0.268098997499,0.399967045986,2396.219174,129.905296,1831.144323,2724.171937,1,-0.001,50,distance
0.02,0.5,1.4,0.5,5,50,500,1,200000,42,1000,50,2270.505000,137.456582,18894.311975,2085.900000,2434.100000,1642.000000,2628.000000,2270.505000,137.456582,18894.311975,2085.900000,2434.100000,1642.000000,2628.000000,328152.386577,328152.386577,93.438738,144.465412,0.00691905679456,0.00691905679456,0.345952839728,0.345952839728,0.00691923759234,0.000421554961287,0.00498941062981,0.00799250814275,0.00691923759234,0.000421554961287,0.00498941062981,0.00799250814275,0.345961879617,0.0210777480644,0.249470531491,0.399625407138,0.345961879617,0.0210777480644,0.249470531491,0.399625407138,2263.941952,137.459129,1635.418060,2621.423842,1,-0.001,50,distance
0.02,0.5,1.5,0.5,5,50,500,1,200000,42,1000,50,2149.042000,130.640316,17066.892236,1980.600000,2304.100000,1673.000000,2463.000000,2149.042000,130.640316,17066.892236,1980.600000,2304.100000,1673.000000,2463.000000,314386.802107,314386.802107,89.578894,146.221311,0.00683566226571,0.00683566226571,0.341783113285,0.341783113285,0.00683581234895,0.000417775578317,0.00531662332488,0.00784065676937,0.00683581234895,0.000417775578317,0.00531662332488,0.00784065676937,0.341790617447,0.0208887789159,0.265831166244,0.392032838469,0.341790617447,0.0208887789159,0.265831166244,0.392032838469,2142.754264,130.642316,1666.706532,2456.717363,1,-0.001,50,distance
0.02,0.5,1.6,0.5,5,50,500,1,200000,42,1000,50,2038.752000,117.701302,13853.596496,1880.900000,2180.000000,1514.000000,2315.000000,2038.752000,117.701302,13853.596496,1880.900000,2180.000000,1514.000000,2315.000000,301214.724866,301214.724866,97.047880,147.673606,0.00676843404952,0.00676843404952,0.338421702476,0.338421702476,0.00676857345456,0.000392926340057,0.00501807235234,0.00766224762382,0.00676857345456,0.000392926340057,0.00501807235234,0.00766224762382,0.338428672728,0.0196463170029,0.250903617617,0.383112381191,0.338428672728,0.0196463170029,0.250903617617,0.383112381191,2032.727706,117.703160,1507.965810,2308.957387,1,-0.001,50,distance
0.02,0.5,1.7,0.5,5,50,500,1,200000,42,1000,50,1924.968000,127.059785,16144.188976,1755.900000,2078.000000,1422.000000,2219.000000,1924.968000,127.059785,16144.188976,1755.900000,2078.000000,1422.000000,2219.000000,288652.982485,288652.982485,91.763568,149.878765,0.00666879650239,0.00666879650239,0.333439825119,0.333439825119,0.00666891727124,0.000441823105267,0.00492533640289,0.00769810356637,0.00666891727124,0.000441823105267,0.00492533640289,0.00769810356637,0.333445863562,0.0220911552634,0.246266820145,0.384905178318,0.333445863562,0.0220911552634,0.246266820145,0.384905178318,1919.194940,127.061145,1416.225775,2213.234944,1,-0.001,50,distance
0.02,0.5,1.8,0.5,5,50,500,1,200000,42,1000,50,1814.010000,119.367901,14248.695900,1645.900000,1960.100000,1434.000000,2109.000000,1814.010000,119.367901,14248.695900,1645.900000,1960.100000,1434.000000,2109.000000,276684.091719,276684.091719,91.152311,152.433016,0.00655624972412,0.00655624972412,0.327812486206,0.327812486206,0.00655639841961,0.000433459647697,0.005172752285,0.00763136453673,0.00655639841961,0.000433459647697,0.005172752285,0.00763136453673,0.32781992098,0.0216729823849,0.25863761425,0.381568226837,0.32781992098,0.0216729823849,0.25863761425,0.381568226837,1808.476318,119.369587,1428.472965,2103.472810,1,-0.001,50,distance
0.02,0.5,1.9,0.5,5,50,500,1,200000,42,1000,50,1716.594000,108.677574,11810.815164,1581.900000,1848.100000,1324.000000,1998.000000,1716.594000,108.677574,11810.815164,1581.900000,1848.100000,1324.000000,1998.000000,265430.454600,265430.454600,95.960697,154.545012,0.00646720815283,0.00646720815283,0.323360407641,0.323360407641,0.00646730932188,0.000410868629837,0.00499303829477,0.00750418621096,0.00646730932188,0.000410868629837,0.00499303829477,0.00750418621096,0.323365466094,0.0205434314918,0.249651914738,0.375209310548,0.323365466094,0.0205434314918,0.249651914738,0.375209310548,1711.285391,108.678652,1318.696616,1992.674972,1,-0.001,50,distance
