rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.125,50,50,500,1,200000,42,1000,50,13372.717000,138.577332,19203.676911,13191.000000,13546.000000,12844.000000,13778.000000,13372.717000,138.577332,19203.676911,13191.000000,13546.000000,12844.000000,13778.000000,1504742.475186,1504742.475186,101.492783,112.516599,0.00888704693363,0.00888704693363,0.444352346681,0.444352346681,0.0088871537841,9.79833270623e-05,0.00853787109537,0.009188216949,0.0088871537841,9.79833270623e-05,0.00853787109537,0.009188216949,0.444357689205,0.00489916635311,0.426893554769,0.45941084745,0.444357689205,0.00489916635311,0.426893554769,0.45941084745,13342.622150,138.583877,12813.968172,13748.009415,1,-0.001,50,distance
0.02,0.5,1.1,0.125,50,50,500,1,200000,42,1000,50,10997.518000,124.823722,15580.961676,10841.800000,11160.000000,10424.000000,11431.000000,10997.518000,124.823722,15580.961676,10841.800000,11160.000000,10424.000000,11431.000000,1225821.980228,1225821.980228,100.813766,111.454688,0.00897154576879,0.00897154576879,0.448577288439,0.448577288439,0.008971686844,0.00010882841181,0.00844986075866,0.00932900939896,0.008971686844,0.00010882841181,0.00844986075866,0.00932900939896,0.4485843422,0.00544142059045,0.422493037933,0.466450469948,0.4485843422,0.00544142059045,0.422493037933,0.466450469948,10973.001560,124.829720,10399.327404,11406.493647,1,-0.001,50,distance
0.02,0.5,1.2,0.125,50,50,500,1,200000,42,1000,50,8864.682000,115.392257,13315.372876,8720.900000,9003.000000,8446.000000,9222.000000,8864.682000,115.392257,13315.372876,8720.900000,9003.000000,8446.000000,9222.000000,980456.238055,980456.238055,100.189040,110.592692,0.00904138466964,0.00904138466964,0.452069233482,0.452069233482,0.00904154308771,0.000123827673506,0.00858129350437,0.00944633151359,0.00904154308771,0.000123827673506,0.00858129350437,0.00944633151359,0.452077154386,0.0061913836754,0.429064675219,0.47231657568,0.452077154386,0.0061913836754,0.429064675219,0.47231657568,8845.072875,115.393159,8426.315322,9202.446192,1,-0.001,50,distance
0.02,0.5,1.3,0.125,50,50,500,1,200000,42,1000,50,7038.813000,101.288795,10259.420031,6911.900000,7170.100000,6692.000000,7320.000000,7038.813000,101.288795,10259.420031,6911.900000,7170.100000,6692.000000,7320.000000,772785.944220,772785.944220,97.818101,109.776855,0.00910836053975,0.00910836053975,0.455418026987,0.455418026987,0.00910852858226,0.000136463057387,0.00866704798131,0.00949587550862,0.00910852858226,0.000136463057387,0.00866704798131,0.00949587550862,0.455426429113,0.00682315286934,0.433352399065,0.474793775431,0.455426429113,0.00682315286934,0.433352399065,0.474793775431,7023.357281,101.287711,6676.557603,7304.415730,1,-0.001,50,distance
0.02,0.5,1.4,0.125,50,50,500,1,200000,42,1000,50,5524.651000,86.023155,7399.983199,5416.000000,5633.100000,5238.000000,5812.000000,5524.651000,86.023155,7399.983199,5416.000000,5633.100000,5238.000000,5812.000000,603008.082870,603008.082870,96.964118,109.132622,0.00916181914794,0.00916181914794,0.458090957397,0.458090957397,0.00916199733595,0.000146768349807,0.00866957388086,0.00964573761713,0.00916199733595,0.000146768349807,0.00866957388086,0.00964573761713,0.458099866798,0.00733841749041,0.433478694043,0.482286880856,0.458099866798,0.00733841749041,0.433478694043,0.482286880856,5512.590838,86.019167,5225.960370,5799.877024,1,-0.001,50,distance
0.02,0.5,1.5,0.125,50,50,500,1,200000,42,1000,50,4300.078000,81.562331,6652.413916,4196.000000,4405.100000,3976.000000,4525.000000,4300.078000,81.562331,6652.413916,4196.000000,4405.100000,3976.000000,4525.000000,468166.239302,468166.239302,97.963291,108.854132,0.00918493825272,0.00918493825272,0.459246912636,0.459246912636,0.00918512174679,0.00017677805963,0.00849271158132,0.00963653554409,0.00918512174679,0.00017677805963,0.00849271158132,0.00963653554409,0.45925608734,0.0088389029815,0.424635579066,0.481826777205,0.45925608734,0.0088389029815,0.424635579066,0.481826777205,4290.714675,81.557787,3966.636677,4515.542087,1,-0.001,50,distance
0.02,0.5,1.6,0.125,50,50,500,1,200000,42,1000,50,3326.562000,67.795488,4596.228156,3237.900000,3410.000000,3024.000000,3540.000000,3326.562000,67.795488,4596.228156,3237.900000,3410.000000,3024.000000,3540.000000,363376.175941,363376.175941,95.549664,109.208049,0.00915459576122,0.00915459576122,0.457729788061,0.457729788061,0.00915483055015,0.000190301934407,0.00833667065212,0.00972590662885,0.00915483055015,0.000190301934407,0.00833667065212,0.00972590662885,0.457741527508,0.00951509672035,0.416833532606,0.486295331442,0.457741527508,0.00951509672035,0.416833532606,0.486295331442,3319.294476,67.792369,3016.745305,3532.652300,1,-0.001,50,distance
0.02,0.5,1.7,0.125,50,50,500,1,200000,42,1000,50,2576.304000,60.016244,3601.949584,2494.900000,2649.000000,2387.000000,2758.000000,2576.304000,60.016244,3601.949584,2494.900000,2649.000000,2387.000000,2758.000000,283789.993722,283789.993722,95.391657,110.117030,0.00907820591631,0.00907820591631,0.453910295815,0.453910295815,0.00907836367612,0.000211299215871,0.00841970884863,0.00970456022597,0.00907836367612,0.000211299215871,0.00841970884863,0.00970456022597,0.453918183806,0.0105649607935,0.420985442432,0.485228011299,0.453918183806,0.0105649607935,0.420985442432,0.485228011299,2570.628200,60.011789,2381.331067,2752.316074,1,-0.001,50,distance
0.02,0.5,1.8,0.125,50,50,500,1,200000,42,1000,50,1990.892000,55.664462,3098.532336,1917.000000,2062.000000,1799.000000,2177.000000,1990.892000,55.664462,3098.532336,1917.000000,2062.000000,1799.000000,2177.000000,223864.352789,223864.352789,102.517340,112.394150,0.00889329620904,0.00889329620904,0.444664810452,0.444664810452,0.00889350544997,0.000248925315991,0.00802472437595,0.00974858409626,0.00889350544997,0.000248925315991,0.00802472437595,0.00974858409626,0.444675272499,0.0124462657995,0.401236218798,0.487429204813,0.444675272499,0.0124462657995,0.401236218798,0.487429204813,1986.414713,55.661044,1794.548416,2172.533710,1,-0.001,50,distance
0.02,0.5,1.9,0.125,50,50,500,1,200000,42,1000,50,1550.129000,46.739067,2184.540359,1488.000000,1608.000000,1395.000000,1684.000000,1550.129000,46.739067,2184.540359,1488.000000,1608.000000,1395.000000,1684.000000,179308.393326,179308.393326,99.457906,115.606872,0.00864504427957,0.00864504427957,0.432252213978,0.432252213978,0.00864530516994,0.000262939106238,0.00783347502008,0.00943065538894,0.00864530516994,0.000262939106238,0.00783347502008,0.00943065538894,0.432265258497,0.0131469553119,0.391673751004,0.471532769447,0.432265258497,0.0131469553119,0.391673751004,0.471532769447,1546.542832,46.737402,1391.441064,1680.428668,1,-0.001,50,distance
